text01#0,"""獵人擅長的武裝之一，<br>有一種長槍武器。"""
text02#0,"""可以運用長槍尖的大攻擊範圍和<br>華麗機動性的武裝。"""
text03#0,"""基本的操作方法是習慣重於學習<br>實際試試就能學得更快吧。"""
text04#0,"""在這裡等一下，<br>我手上多一把長槍，<br>用這個稍加練習就可以。"""
text05#0,"""關於『長槍』"""
text06#0,"""說明關於武器「長槍」。<br><br>長槍是可以高速且俐落地刺殺敵人的打擊武器。"""
text07#0,"""可以進行長槍系的基本攻擊與<br>光子技能的動作。<br><br>盡情施展大動作的揮舞，擅長無縫攻擊。"""
text01#1,"""ハンターの得意武装の一つに<br>パルチザンというものがある。"""
text02#1,"""長い穂先を活かしたリーチと<br>華麗な機動が特長の武装だ。"""
text03#1,"""基本的な扱い方は習うより慣れろ<br>触ってみた方が習得も早いだろう。"""
text04#1,"""ここにちょうど<br>パルチザンが一本余っている。<br>これを使って少し練習してくるといい。"""
text05#1,"""『パルチザン』について"""
text06#1,"""武器「パルチザン」について、説明します。<br><br>パルチザンは、高速かつ豪快に敵を薙ぎ払う打撃武器です。"""
text07#1,"""パルチザン系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>豪快な舞から大技へ繋ぎ、スキのない攻撃を得意とします。"""
