un_020290_0010#0,"""อ้าว นี่มันๆ<br>คุณ <%me> นี่นา<br>ท่าทางสบายดีก็ดีแล้วล่ะครับ"""
un_020290_0020#0,"""พลังของคุณน่ะจะเป็นสิ่งที่จำเป็น<br>สำหรับ ARKS ในอนาคตแน่นอนครับ"""
un_020290_0030#0,"""มีความมุ่งมั่นมันก็ดีอยู่หรอก<br>แต่ก็กรุณาเอาใจใส่ตัวเองด้วยนะครับ"""
un_020290_0040#0,"""แต่ว่า การปรากฏตัวของ D-arkers แถวนี้เอง<br>ก็เพิ่มขึ้นมากเลยนะครับ การที่คุณกำลัง<br>ปฏิบัติภารกิจอยู่นี่ก็คือหลักฐานที่ยิ่งกว่าอะไร"""
un_020290_0050#0,"""จุดประสงค์ของผมเหรอ? รวบรวมข้อมูลครับ<br>หากมีการคิดจะที่ทำการล้างบางพวกมัน<br>ล่ะก็ Clariskrays ต้องถูกส่งออกมาแน่"""
un_020290_0060#0,"""Three Victor แต่ละคนก็มีหน้าที่ของตัวเอง<br>......ถ้าจะพูดให้โหดร้ายหน่อย เธอคนนั้น<br>น่ะก็เหมือนกับระเบิดเดินได้ดีๆ นี่เองล่ะครับ"""
un_020290_0070#0,"""เธอคนนั้นน่ะเหมาะที่สุดสำหรับศัตรูจำนวน<br>มากที่ต้องกำจัดโดยไม่จำเป็นต้องยั้งมือ"""
un_020290_0080#0,"""ด้วยพลังที่สูงเกินแต่การควบคุมต่ำ<br>แป๊ปเดียวก็หอบ นั่นจึงเป็นจุดอ่อน<br>แต่ก็นะครับ มันคงแก้ไขอะไรไม่ได้"""
un_020290_0090#0,"""สำหรับผมนั้นกลับกัน ผมจะต่อสู้แบบรักษาระบบ<br>และให้ความสำคัญกับต้นทุนเป็นหลักจึงเหมาะ<br>กับการต่อสู้ยืดเยื้อหรือการล่าถอยมากกว่า"""
un_020290_0100#0,"""แต่ก็กลับกัน หากโดนโจมตีเข้ามาไม่หยุด<br>ความสามารถของผมก็ทำอะไรไม่ได้<br>ก็เลยกลายเป็นจุดอ่อนเหมือนกันครับ"""
un_020290_0110#0,"""ส่วน Regius นั้น...... นั่นสินะครับ<br>ถ้าต้องเผชิญหน้ากับเขาก็จบสิ้นแล้วล่ะครับ"""
un_020290_0120#0,"""ถ้าไม่เผชิญหน้ากับเขาก็ไม่มีปัญหางั้นรึครับ<br>การคิดทำแบบนั้นอาจจะถูกต้องก็ได้นะครับ"""
un_020290_0130#0,"""แต่ถ้าอยากจะให้ยกตัวอย่างจุดอ่อนจริงๆ <br>ล่ะก็...... คงจะเป็นเรื่องที่เขาอยู่ในตำแหน่ง<br>ที่จำจะต้องคิดถึงผลลัพธ์เวลาสู้ครับ"""
un_020290_0140#0,"""ฮะฮะ แทนที่จะบอกว่ะพวกเราแบ่ง<br>หน้าที่กัน ควรจะบอกว่าเรามีข้อดี<br>ข้อเสียของแต่ละคนมากกว่านะครับ"""
un_020290_0150#0,"""คนที่แข็งแกร่งที่สุดคือ Regius<br>คนที่อันตรายมากที่สุดคือ Clariskrays<br>ส่วนคนที่เป็นตัวปัญหามากที่สุดคือผมเอง"""
un_020290_0160#0,"""เพราะอย่างนั้นแหละ หน้าที่ที่น่ารำคาญ<br>อย่างการเก็บข้อมูล ก็เลยยัดเยียดให้มา<br>เป็นหน้าที่ของผมยังไงล่ะครับ"""
un_020290_0010#1,"""これはこれは<br><%me>さん。<br>お元気そうで何よりです。"""
un_020290_0020#1,"""貴方の力は、今後のアークスに<br>とって必要なものとなるはずです。"""
un_020290_0030#1,"""張り切るのもいいですが<br>ご自愛もしてくださいね。"""
un_020290_0040#1,"""しかし、このあたりもダーカーが<br>増えてきているようですね。<br>貴方が出撃しているのが何よりの証拠。"""
un_020290_0050#1,"""私の目的？\u3000情報収集ですよ。<br>もし、殲滅戦闘をするならば<br>クラリスクレイスが派遣されるはず。"""
un_020290_0060#1,"""三英雄も役割分担されています。<br>……誤解を恐れず言うのなら<br>彼女は歩く爆弾のようなもの、です。"""
un_020290_0070#1,"""後先考えずに吹き飛ばせる<br>多数相手がもっとも向いています。"""
un_020290_0080#1,"""火力が高すぎるうえ、制御が下手なので<br>すぐに息切れしてしまうのが弱点ですが<br>まあ、性質上致し方なしでしょう。"""
un_020290_0090#1,"""私はまったく逆。コスト重視の<br>高稼働率を保つような戦い方ですから<br>持久戦や撤退戦に向いているんです。"""
un_020290_0100#1,"""逆に、一気呵成に来られてしまうと<br>私の能力ではどうしようもなくなる<br>という弱点もありますがね。"""
un_020290_0110#1,"""レギアスは……そうですね。<br>あれは対峙したら終わり、です。"""
un_020290_0120#1,"""如何に、対峙せずに事を済ますか。<br>それを考えて動くのが正解ですかね。"""
un_020290_0130#1,"""それでも強いて弱点を挙げるなら……<br>彼は後先考えずに戦うことの出来ない<br>立場に置かれている、という点です。"""
un_020290_0140#1,"""ははっ。役割分担というより<br>一長一短というべきですかね。"""
un_020290_0150#1,"""一番強いのはレギアス。<br>一番危険なのはクラリスクレイス。<br>そして一番面倒なのが、私。"""
un_020290_0160#1,"""だからその通りに<br>情報収集とか面倒なことは<br>私に押しつけられるんですよ。"""
