st_065080_0010#0,"""……相當頑強啊。<br>這份使命感、值得稱讚。"""
st_065080_0020#0,"""回想起來、你們從一開始就是這樣的。<br>總是超過我的預想、頑強地<br>不放棄地對抗。"""
st_065080_0030#0,"""你作為這個世界的容器。<br>就這樣毀掉<br>也太可惜了。"""
st_065080_0040#0,"""這是什麼……意思……"""
st_065080_0050#0,"""<%me>、瑪托依<br>與ARKS分道揚鑣<br>願與我同行嗎？"""
st_065080_0060#0,"""啊！？"""
st_065080_0070#0,"""原諒你之前的狼狽行爲吧。<br>也可以保證你的性命。"""
st_065080_0080#0,"""失去了米朵拉和瓦爾納<br>手上正缺人手。<br>我覺得不是什麼壞事？"""
st_065080_0090#0,"""……別開玩笑了！"""
st_065080_0100#0,"""我沒有在開玩笑。<br>只是在恰當的時機提出提案。"""
st_065080_0110#0,"""如果你們作爲夥伴的話就方便了<br>在展示實力差距之後、進行談判。<br>作爲計畫並沒有錯。"""
st_065080_0120#0,"""<%me>。<br>ARKS是應該守護的東西嗎？<br>神諭、是應該守護的東西嗎？"""
st_065080_0130#0,"""過去、當你們走向黑暗的時候<br>你們的管理者應該進行過<br>捨棄你們的演算。"""
st_065080_0140#0,"""就結果而言、由於你們自己的<br>奮鬥、事情得以解决。<br>那是你們的功績。"""
st_065080_0150#0,"""ARKS、什麼也沒做。<br>只是看著你們。拋弃了你們。"""
st_065080_0160#0,"""而且、總有一天<br>他們會排斥你們。<br>……過於懼怕這種力量。"""
st_065080_0170#0,"""你是說沒有那樣的事嗎？<br>這我也知道。<br>但是歷史證明了。"""
st_065080_0180#0,"""因爲那個見證人、就在這裏。"""
st_065080_0190#0,"""人只是醜陋而已。<br>這就是、答案。"""
st_065080_0200#0,"""擁有超越他人的力量的我們<br>沒有必要被他人的道理所束縛。"""
st_065080_0210#0,"""你不這麼認爲嗎、守護輝士。<br>你們應該守護的是世界而不是<br>ARKS、不是嗎？"""
st_065080_0220#0,"""你們、不是只是<br>想互相保護<br>對方嗎？"""
st_065080_0230#0,"""……不對"""
st_065080_0240#0,"""……不對。"""
st_065080_0250#0,"""……什麼不對？"""
st_065080_0260#0,"""因為有ARKS、才有現在"""
st_065080_0270#0,"""正因爲有ARKS、才有現在。"""
st_065080_0280#0,"""因爲有大家、才有未来"""
st_065080_0290#0,"""正因爲有大家、才有未来。"""
st_065080_0300#0,"""……即使在遙遠的未來<br>自己被大家排斥？"""
st_065080_0310#0,"""即使這樣……"""
st_065080_0320#0,"""即使這樣……"""
st_065080_0330#0,"""這不能成爲摧毀未來的理由"""
st_065080_0340#0,"""這也不能成爲摧毀未來的理由。"""
st_065080_0350#0,"""…………"""
st_065080_0360#0,"""……呵、呵呵。哈哈哈哈。<br>哈哈哈哈哈哈！"""
st_065080_0370#0,"""無論到哪裡都是老好人。"""
st_065080_0380#0,"""是因為我的失敗<br>才這樣設計的嗎？<br>……ARKS你們真是幸運啊。"""
st_065080_0390#0,"""我是終之女神・示巴。<br>【深遠之暗】的共同存在者。<br>歴史的終焉者。"""
st_065080_0400#0,"""世界必須毀滅。<br>光子必須消失。"""
st_065080_0410#0,"""世界的容器、<%me>。<br>ARKS也好、你也好、現在這個時候<br>正是終結的時候。"""
