st_012090_0010#0,"""ว่าไง<br><%me> คุง<br>ชั้นกำลังรออยู่เลย"""
st_012090_0020#0,"""เปล่า คนที่มีธุระไม่ใช่ชั้นหรอก<br>ชั้นแค่คนส่งสารเท่านั้น"""
st_012090_0030#0,"""[ขอล่วงหน้าไปเตรียมพร้อมก่อน]<br>เด็กผู้หญิงที่ชื่อ Kuhna ฝากให้ชั้นมาบอกเธอน่ะ"""
st_012090_0040#0,"""Rela คุงเอง ก็รู้สึกได้ถึงอะไรบางอย่าง<br>กำลังวิ่งวุ่นใหญ่เลย<br>มีแต่ชั้นเท่านั้นที่ไม่รู้เรื่องอะไรซักกะติ๊ด"""
st_012090_0050#0,"""หรือพูดอีกอย่างก็คือ<br>ชั้นไม่สนเรื่องที่จะเกิดขึ้นหลังจากนี้หรอก<br>รวมถึงสาเหตุของการเกิดด้วย"""
st_012090_0060#0,"""แต่ว่าเรื่องที่จะเกิดต่อจากนี้ต่างหากละ <br>มันอาจเป็นเรื่องที่แสนลำบาก<br>สำหรับเธอกับเด็กที่ชื่อ Kuhna นั่นก็ได้"""
st_012090_0070#0,"""......แหม ก็เธอเป็นที่ชื่นชอบของทุกคนนี่นะ<br>สำหรับเด็กคนนั้นคาดว่าคงเป็น<br>ปัญหาใหญ่พอควรเลยทีเดียวล่ะ"""
st_012090_0080#0,"""ไม่อยากให้ตกใจจนเกินเหตุน่ะนะ<br>เรื่องแค่นี้ ถึงจะไม่ต้องคิด<br>แต่แค่มองหน้าเธอชั้นก็รู้ได้แล้วล่ะ"""
st_012090_0090#0,"""แต่ว่าถึงจะหยั่งงั้น มันก็เป็นสิ่งจำเป็น<br>ที่จะต้องก้าวข้าม<br>เด็กคนนั้นถึงได้มุ่งหน้าเข้าไปด้านใน"""
st_012090_0100#0,"""และเพื่อช่วยเหลือเด็กคนนั้น<br>เธอเองก็ต้องมุ่งหน้าไปข้างในด้วย"""
st_012090_0110#0,"""เห็นมั้ยล่ะ นึกแล้วว่าไม่มีคิวให้ชั้นออก<br>จริง ๆ ซะด้วย เหตุผลที่จำเป็นต้องรู้ก็ไม่มี<br>กลับกันจะไปกลายเป็นสาระแนไปซะอีก"""
st_012090_0120#0,"""...ขอโทษด้วยนะ ที่ชั้นบ่นซะยาวเลย<br>ถ้าปล่อยให้เด็กผู้หญิง<br>คนนั้นรอจะเป็นการเสียมารยาท"""
st_012090_0130#0,"""เพราะงั้นเธอรีบมุ่งหน้าเข้าไปข้างในจะดีกว่า<br>ส่วนชั้น...อืม...นั่นสินะ......"""
st_012090_0140#0,"""เอาเป็นว่าตามหน้าที่ถึงจะเป็นคนรู้เรื่อง<br>ไม่มากก็น้อยก็ตาม แต่ก็ขออวยพร<br>ให้พวกเธอปลอดภัยกลับมาก็แล้วกัน"""
st_012090_0150#0,"""A.P.238/4/23/13:30"""
st_012090_0010#1,"""やあ。<br><%me>くん。<br>待っていたよ。"""
st_012090_0020#1,"""なに、用事があるのは私じゃない。<br>私はただのメッセンジャーさ。"""
st_012090_0030#1,"""『先に行って準備をしておく』<br>クーナ、という女の子から<br>キミ宛の伝言だ。"""
st_012090_0040#1,"""レラ君も、何か感じ取ったようで<br>いろいろと動き回っているようだし<br>私だけ、蚊帳の外な感じさ。"""
st_012090_0050#1,"""とはいえ、私はこの後起きることにも<br>その原因にも、さしたる興味はない。"""
st_012090_0060#1,"""ただ、これから起きることは<br>おそらく、キミやクーナという子に<br>とって、辛いことなのだろう。"""
st_012090_0070#1,"""……いや、キミはお人好しだから<br>きっと彼女にとっての大きな<br>問題なんだろうな。"""
st_012090_0080#1,"""あまり驚かないで欲しいね。<br>そのぐらいは、考えなくても<br>キミの顔を見ていればわかる。"""
st_012090_0090#1,"""だがそれでも、乗り越えなければ<br>いけないと思ったから<br>彼女は奥に向かった。"""
st_012090_0100#1,"""そして彼女を支えるために<br>キミも奥に向かう。"""
st_012090_0110#1,"""ほら、やはり私の出る幕はない。<br>知る必要も、理由もない。<br>むしろ、失礼にあたるだろう。"""
st_012090_0120#1,"""……失礼、話が長くなってしまった。<br>女性を待たせる方がもっと<br>失礼にあたるね。"""
st_012090_0130#1,"""キミは早く奥に向かうといい。<br>私は……私は、そうだな……"""
st_012090_0140#1,"""多少なりとも知ってしまった者の<br>責務として、キミと彼女の<br>無事でも祈ることにするかな。"""
st_012090_0150#1,"""A.P.238/4/23/13:30"""
skit01#0,"""Our Final Farewell"""
skit02#0,"""Chapter 10: Encore on the thin Space"""
skit01#1,"""Our Final Farewell"""
skit02#1,"""第１０章 虚空に奏でるアンコール"""
