11_voice_NPC_5313_104#0,"""あ、<%me>！<br>……え？\u3000新人を上手に育成する<br>指導方法を聞きたいの？"""
Hyui_01_020#0,"""ああ、情報部としてか！<br>新しいアイドルでも育てる気かと……<br>それも面白そうだけどね。"""
Hyui_01_030#0,"""例えば、アイカに教えたときは<br>事例や最適な手段、その理由なんかを<br>熱心に伝えたぐらいかな。"""
11_voice_NPC_5313_100#0,"""どこかの陰険メガネみたいに<br>小難しくてイヤミな指導はダメ！<br>明るく、楽しく、熱心に、ね！"""
11_voice_NPC_5313_101#0,"""あ、<%me>！<br>あたしに会いに来てくれたの？<br>ありがとう、嬉しい！"""
11_voice_NPC_5313_104#1,"""え、今みたいに<br>感情豊かにふるまうコツを<br>教えてほしい……？"""
Auyuku_01_030#0,"""アイドルだから、かな？<br>アイドルって、みんなを元気づけて<br>明るくふるまうのが仕事だからね！"""
Auyuku_01_040#0,"""でも、別に無理はしてないよ？<br>みんなが喜んでくれるのを見ると<br>やっぱり嬉しいもん。"""
11_voice_NPC_5313_100#1,"""もっと、みんなの喜ぶ顔が見たい！<br>……って考えてると、自然と自分も<br>笑顔になっちゃう感じ、かな！"""
11_voice_NPC_5313_100#2,"""いやー、とうとう、って感じだね！<br>あなたにとっては一瞬かもだけど<br>あたしたちは結構待たされたんだよ？"""
sb1_002#0,"""それじゃ復帰のお祝いとして<br>手始めにライブでもやっちゃおうか？"""
sb1_003#0,"""みんなのアイドル、クーナちゃんは<br>今もなお健在、だからね！"""
11_voice_NPC_5313_100#3,"""ライブの準備は、入念にしてるかな。<br>演出とかもそうだし、設営とかも。"""
st01_020#0,"""見に来てくれるみんなのためにも<br>良いライブにしたいからね！"""
11_voice_NPC_5313_100#4,"""カスラ？\u3000ああ、陰険メガネのことね。<br>あいつなら、ここ最近その陰険さに<br>磨きがかかってるよ。"""
st01_020#1,"""情報部司令として、権限フル活用で<br>あっちこっち暗躍してるからねー。"""
st01_030#0,"""あいつは、使えるものは全部使おうと<br>するからね。あなたも無関係じゃ<br>いられないと思うよ。"""
