msc_022070_0010#0,"""……はぁ。"""
msc_022070_0020#0,"""どうしたの？"""
msc_022070_0030#0,"""大丈夫？"""
msc_022070_0040#0,"""……え？"""
msc_022070_0050#0,"""ああ、あなただったのね。"""
msc_022070_0060#0,"""……あ。"""
msc_022070_0070#0,"""なんだ、あなただったの。"""
msc_022070_0080#0,"""……ごめんなさい。<br>少しぼんやりしていたわ。"""
msc_022070_0090#0,"""……平気よ。<br>心配いらない。"""
msc_022070_0100#0,"""本当に？"""
msc_022070_0110#0,"""やっぱり無理してるんじゃ……。"""
msc_022070_0120#0,"""ええ、本当。"""
msc_022070_0130#0,"""いいえ、そんなことないわ。"""
msc_022070_0140#0,"""自分の限界くらい、自分でわかるから。"""
msc_022070_0150#0,"""はりきりすぎて、<br>少し疲れてしまっただけ。"""
msc_022070_0160#0,"""本当に、なんともないから……。"""
msc_022070_0170#0,"""……それじゃ、<br>調査の続きがあるから、行くわね。"""
msc_022070_0180#0,"""マノンに会いにきたのか。"""
msc_022070_0190#0,"""疲れているように見える。"""
msc_022070_0200#0,"""マノンに、なにかあった？"""
msc_022070_0210#0,"""……ああ、そうだな。"""
msc_022070_0220#0,"""……なにか、というか……。"""
msc_022070_0230#0,"""ほとんど休んでいない。"""
msc_022070_0240#0,"""お前も、あの力のことは知っているな。"""
msc_022070_0250#0,"""あれを、ことあるごとに使って、<br>目的を果たそうとしているようだ。"""
msc_022070_0260#0,"""おかげで、調査は順調そのものだ。"""
msc_022070_0270#0,"""それで、隊員からの彼女の評価はすこぶる高い。"""
msc_022070_0280#0,"""信頼されていると言っていいだろう。"""
msc_022070_0290#0,"""……だが、無茶をして、<br>自らが傷つくようなことがあっては意味がない。"""
msc_022070_0300#0,"""本人にも、そう言っているのだがな……。"""
msc_022070_0310#0,"""それに、いくら強くても、<br>ひとりでは成し遂げられないことがある。"""
msc_022070_0320#0,"""……お前に諭された、<br>俺が言えたことではないかもしれんが。"""
msc_022070_0330#0,"""………。"""
msc_022070_0340#0,"""まあいい。"""
msc_022070_0350#0,"""しばらく、ようすを見るとしよう。"""
