st_058040_0010#0,"""呀、哈莉艾特。<br>感覺如何？<br>狀態非常好吧？"""
st_058040_0020#0,"""不管怎麼說、這個世界的一切都是你的餌食。<br>無論吃多少都不會結束。<br>正是、爲所欲爲的傢伙、撒。"""
st_058040_0030#0,"""……你接下來打算做什麼。<br>你打算把我怎麼樣。"""
st_058040_0040#0,"""什麼也不做。我什麼都不用做了。<br>只要我們「存在」、世界就會毀滅。<br>就是這樣。"""
st_058040_0050#0,"""你看到了吧、哈莉艾特。<br>腐蝕世界的黑水的樣子。<br>那就是我們。"""
st_058040_0060#0,"""將瑪娜……光子腐蝕、吞噬<br>不斷擴散、混沌。<br>然後世界就這樣混合在一起。"""
st_058040_0070#0,"""沒有區別、只有一個。<br>回到最初、一切結束。<br>這才是、我們的目的、撒。"""
st_058040_0080#0,"""我……我不希望發生這種事！<br>爲這個世界帶來和平<br>這才是我心中的願望……！"""
st_058040_0090#0,"""世界和平嗎。<br>哈哈、這到底是誰的願望呢<br>是吧、「哈莉艾特」。"""
st_058040_0100#0,"""誒……？"""
st_058040_0110#0,"""你不是哈莉艾特。<br>是哈莉艾特形狀的其他東西。<br>這你最清楚吧？"""
st_058040_0120#0,"""那個被植入的某人的願望<br>真的、真的是你的願望嗎？"""
st_058040_0130#0,"""那是……"""
st_058040_0140#0,"""哎呀哎呀、這不是前輩嗎。<br>我威脅了你那麼多<br>你還要來嗎。"""
st_058040_0150#0,"""沒用、這個詞的意思<br>看來你沒有正確理解。"""
st_058040_0160#0,"""……守護輝士。"""
st_058040_0170#0,"""……原來如此啊。<br>你的希望、就是她之所以存在。"""
st_058040_0180#0,"""那麼、就讓我們看看<br>希望無力破碎<br>的樣子吧、撒。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
