name01#0,"""Astalte"""
11_voice_shop_412#0,"""ท่านสำเร็จทุกเงื่อนไขใน Card ใบนี้แล้ว<br>และนี่คือ Card ใบใหม่ของท่าน"""
text02#0,"""Card ใบนี้จะเกี่ยวกับ Time Attack Quest"""
text03#0,"""และภารกิจแรกคือเคลียร์ TimeAttackQuest <br><c bb0000>[Running maneuvers: Naberius II]<c><br>ให้สำเร็จ"""
text04#0,"""ก่อนลงสนามจริงขอให้ตรวจสอบ<br>ว่าได้รับอนุญาตให้ลงสำรวจ<br>โบราณสถานหรือยังก่อนนะ"""
text05#0,"""และข้อควรระวังคือ ภารกิจนี้ท่านต้องมี<br>หลักฐานว่าเคยผ่านภารกิจ<br> [Destroy Wolgahda] มาเสียก่อน"""
text06#0,"""และเมื่อท่านสามารถดำเนินภารกิจจนลุล่วงแล้ว<br>ท่านจึงจะได้รับการประทับตราบน StampCard<br>"""
text07#0,"""พยายามเข้านะ"""
name01#1,"""アスタルテ"""
11_voice_shop_412#1,"""カードの取得条件を満たしていますね。<br>では、こちらが新しいカードです。"""
text02#1,"""タイムアタッククエストに関する<br>カードとなります。"""
text03#1,"""最初の目標は、タイムアタッククエスト<br>「走破演習：ナベリウスⅡ」を<br>クリアすることです。"""
text04#1,"""遺跡エリアでの演習を行う為<br>探索許可を得ていない場合<br>先に許可を取得してください。"""
text05#1,"""具体的には「ウォルガーダ殲滅」の<br>任務が達成済みである必要があります。<br>ご注意を。"""
text06#1,"""なお、すでに目標達成済みでしたら<br>引き続いてスタンプを押させて<br>もらいます。よろしくお願いします。"""
text07#1,"""それでは、頑張って下さい。"""
