un_042010_0010#0,"""你好呀，my friend！"""
un_042010_0020#0,"""呵，用不著這麼害羞嘛。<br>我在叫的是你啦，是・你！與我志向相同<br>也就意味著，你是my best friend啦！"""
un_042010_0030#0,"""乖啦乖啦約瑟芬。<br>別啄啦別啄啦，我可不是食物哦。"""
un_042010_0040#0,"""對了my friend，你還是第一次見這孩子吧。<br>你覺得約瑟芬怎麼樣？是不是很可愛？<br>食慾旺盛，也是這孩子的其中一個可愛之處哦！"""
un_042010_0050#0,"""它時不時還會向我射來<br>看待獵物一般的眼神，也真是cute呢……！"""
un_042010_0060#0,"""對了對了，你有沒有定期給自己的孩子們<br>好好地供給能量？"""
un_042010_0070#0,"""畢竟這群孩子們，可是特別的存在！<br>只要我們提供能量，餵給它們<br>它們就會像這樣得到成長！"""
un_042010_0080#0,"""換句話來說，它們是會憑藉著我們所注入的愛情<br>而展翅翱翔在天空中的……！<br>你說是不是呀，約瑟芬！"""
un_042010_0090#0,"""哈哈哈，乖啦乖啦，出洋相可不好哦？<br>看來這孩子好像肚子餓了呢。<br>我就先行告辭了，my friend！"""
un_042010_0100#0,"""哈哈哈約瑟芬！<br>你用不著這麼鬧騰啦！<br>今天我給你準備了一頓大餐哦！"""
un_042010_0110#0,"""呃好危險！喂喂，你打算啄我眼球嗎？<br>真是個小淘氣呀！哈哈哈哈！"""
