Begin#0,"""開始5151"""
Success#0,"""成功5151"""
Failure#0,"""失敗5151"""
Dead#0,"""自分死亡5151"""
BuddyDead#0,"""相手死亡5151"""
Evolution#0,"""発展5151"""
Begin#1,"""/ci3 1 ちょっとムサシ！<br>あんたがふがいない戦い方するから<br>迷惑かけちゃってるじゃない！"""
Success#1,"""/ci2 1 えっと、その……ありがとう。<br>実はちょっと危なかったから<br>とっても助かったわ。"""
Failure#1,"""/ci4 1 ああもうっ、上手くいかないし<br>自分の情けなさに腹が立つっ……！<br>……ごめん、先に退く！"""
Dead#1,"""嘘でしょ……！<br>こんなところでやられるなんて……！"""
BuddyDead#1,"""まったくもう……情けないのは<br>リアルだけにしなさいよ。<br>そこで少し休んでなさい！"""
Begin#2,"""/ci3 2 /mn12 任せてください！<br>こんな奴ら、蹴散らしちゃいます！"""
Success#2,"""/ci2 2 /mn24 はい、もちろんです！<br>……ＲＩＮＡさんと一緒ですし<br>私、頑張ります！"""
Failure#2,"""/mn1 す、すみません……<br>私が不甲斐ないばかりに……！"""
Dead#2,"""/mn24 ＲＩＮＡさんの盾になれたのなら<br>私は本望……！"""
BuddyDead#2,"""/mn18 そんな……！<br>よくも……絶対に許さないわ！"""
Begin#3,"""/toge /ci3 ＲＩＮＡさんの為に頑張るのよ！<br>こいつらにイベントは<br>絶対に邪魔させないんだから！"""
Success#3,"""/mn15 /ci2 2 さあ、次へ行くわよ！<br>それがＲＩＮＡさんのためだからね！"""
Failure#3,"""/mn5 そんな……！<br>なんでこんなことに……！"""
Dead#3,"""/mn4 ウソでしょ……！<br>ＲＩＮＡさん、ごめんなさい……"""
BuddyDead#3,"""/mn22 シルバ、大丈夫？<br>私たちで後は片付けるから<br>ちょっと休んでて！"""
