WorldTrialName#0,"""ステラーグレイス回収作戦"""
WorldTrialExplain#0,"""各地に出現したステラーグレイスを、時間内により多く収集する。<br>収集数に応じて、レアドロップ倍率が上昇する。"""
WorldTrialExplain02#0,"""ステラーグレイスを、時間内により多く収集する。収集数に応じて、<br>レアドロップ倍率とシーズナルポイント獲得倍率が上昇する。"""
WorldTrialAbstract#0,"""ステラーグレイス回収作戦"""
MessageRemainingTreasure1#0,"""セクション内のＳグレイス：残数$(0)個"""
MessageRemainingTreasure2#0,"""セクション内のＳグレイス：残数$(0)個"""
MessageSectionComplate#0,"""セクション内の全Ｓグレイス回収完了！"""
ToastTreasureAccess#0,"""Ｓグレイス発見総数：$(0)/現在のＳグレイスブースト【個人】：$(1)％"""
ProgRemainingSection#0,"""セクション内のステラーグレイス：残数$(0)個"""
ViewGuide#0,"""詳細はメインメニューをご確認下さい"""
ViewPersonalScoreTitle#0,"""このセクションのＳグレイス"""
ViewPersonalBoostTitle#0,"""Ｓグレイスブースト【個人】"""
ToastIntegrateTargetBoost#0,"""Ｓグレイスブースト【全体】の倍率が$(0)%に上昇しました。"""
NpcComOnBegin#0,"""上空に、多数の飛翔体が確認されました！<br>ステラーグレイスが発生したものと思われます。"""
NpcComOnBegin2#0,"""アークス各員は、各地に散らばった<br>角錐型のコンテナ回収をお願いします。"""
NpcComOnSuccess#0,"""アークス各員の協力により、<br>目標数のコンテナ回収に成功しました！"""
NpcComOnSuccess2#0,"""本作戦は完了となります。お疲れ様でした！"""
NpcComOnFailure#0,"""規定数のコンテナ回収に至りませんでした。<br>これ以上の作戦継続は、防衛上の危険があると判断します。"""
NpcComOnFailure2#0,"""ステラーグレイスのこれ以上の発見は困難と判断されました。<br>アークス各員は通常体制に移行してください。"""
NpcComOnPersonalSuccess#0,"""必要な数のステラーグレイスを回収できました！"""
NpcComOnPersonalSuccess2#0,"""まだ余力があるようであれば、<br>引き続き回収にご協力ください。"""
NpcComOnSectionComplate#0,"""このセクション内のコンテナは、すべて回収されました。<br>他のセクションに向かってください。"""
NpcComOnAllSectionComplate#0,"""十分な数のステラーグレイスを回収できました！<br>ご協力ありがとうございました。"""
NpcComOnAllComplate#0,"""十分な数のステラーグレイスを回収できました！<br>ご協力ありがとうございました。"""
NpcComOnIntegrateTargetScoreLevel2#0,"""全体目標スコアレベル2"""
NpcComOnIntegrateTargetScoreLevel3#0,"""全体目標スコアレベル3"""
NpcComOnIntegrateTargetScoreLevel4#0,"""全体目標スコアレベル4"""
NpcComOnIntegrateTargetScoreLevel5#0,"""全体目標スコアレベル5"""
