name01#0,"""Azanami"""
name01#1,"""アザナミ"""
text00#0,"""ขอบใจนะ<br>ช่วยได้เยอะเลย"""
text01#0,"""เสร็จแล้วเหรอ ?<br>อื้ม ของดีนะเนี่ย<br>ขอบใจนะ"""
text02#0,"""เป็นไงมั่ง !<br>ขอบใจมากนะ ช่วยได้เยอะเลย !"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""依頼、ありがとね。<br>助かったよ。"""
text01#1,"""出来たかな？<br>うん。いい出来、いい出来。<br>ありがとね。"""
text02#1,"""おっつかれさまー！<br>ありがとね、助かったよ！"""
text03#1,"""ありがとう03"""
text00#2,"""โอ๋ ใช่ของที่สั่งจริงๆเหรอ ?<br>ไหงถึงเป็นของดีขนาดนี้ล่ะ<br>สบายเลยเรา ขอบคุณมากนะ"""
text01#2,"""สุดยอด !<br>โอโห งานชิ้นเอกเลยนะเนี่ย !<br>งี้ต้องไปรบกวนอีกซะแล้ว !"""
text02#2,"""ไม่มีที่ติ !<br>เจ๋งกว่าที่คิดไว้ซะด้วย !<br>คราวหน้าไว้ช่วยทำให้อีกนะ !"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""おっ、これが頼んだやつ？<br>予想以上の出来だね。<br>助かったよ、ありがとねっ。"""
text01#3,"""すごーい！<br>いやあ、見事な品だねー！<br>次もよろしくね！"""
text02#3,"""文句なしの出来だよ！<br>頼んだ甲斐があったよー！<br>またよろしくね！"""
text03#3,"""本当にありがとう03"""
