name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
11_voice_NPC_5013_100#0,"""เฮ้อ หมูชะมัดเลย !<br>สมาชิกลับคนที่สามเนี่ย !<br>พึ่งพาได้จริงๆเลยเนอะ !"""
text02#0,"""...แต่ข้าไม่เห็นว่างานนี้จะหมูตรงไหน...<br>Pati หัดห่วงตัวเองบ้างก็ดีนะ"""
text03#0,"""ที่ข้ากล้าทำแบบนั้นก็เพราะมีคนนี้มาด้วยหรอกน่า<br>ไม่รู้สึกบ้างเหรอว่างานสบายขึ้น?"""
11_voice_NPC_5014_104#0,"""อืมม ก็ช่วยดูแลเธอได้เยอะล่ะนะ<br>ถ้ามีแค่ข้าคนเดียวคงไม่ไหวละ..."""
text05#0,"""ถ้าท่านไม่รังเกียจล่ะก็ วันหลังมาด้วยกันอีกล่ะ !<br>สำหรับคราวนี้ต้องขอบใจมากนะ !"""
11_voice_NPC_5013_100#1,"""いやー、すっごいやりやすかったー！<br>流石は幻の三人目だね！<br>相性バツグンだね！"""
text02#1,"""……私も、やりやすかったって<br>ところは否定しないけど……<br>パティちゃん、突っ込みすぎ。"""
text03#1,"""この人と一緒だと、そういう風に<br>動けそうな気がするんだよねー。<br>一緒だと調子が良くなる感じ？"""
11_voice_NPC_5014_104#1,"""まあ、私も一人でフォローに回らずに<br>済むからすごく助かるけど……"""
text05#1,"""アナタさえよければ、また行こうね！<br>それじゃ、今回はありがと！"""
