name01#0,"""プリン"""
11_voice_NPC_5082_104#0,"""<%me>さん。<br>装備管理官のプリンと申します。"""
text02#0,"""こうしてご連絡させていただいたのは<br>アークスの新たな訓練用クエストの<br>案内のためです。"""
text03#0,"""エクストリームクエストと呼ばれる<br>このクエストの受注には<br>専用のパスが必要です。"""
text04#0,"""パスは私が管理しております。<br>アークス活動再開時に自動で受け取るか<br>お時間のある時に取りに来てください。"""
text05#0,"""また、あわせてコレクトファイルも<br>発行されましたので、ご連絡します。"""
text06#0,"""コレクトファイルとはシート内にある<br>必要アイテムを全て取得しますと<br>報酬を受け取ることのできるものです。"""
text07#0,"""対象アイテムは<br>シートごとに異なっており、報酬も<br>その内容に応じたものとなります。"""
text08#0,"""コレクトファイルの<br>シートが追加されましたら<br>私の方から連絡させていただきます。"""
text09#0,"""では、今後とも<br>よろしくお願いいたします。"""
linewindow#0,"""<br>『エクストリームクエスト』について<br>"""
text00#0,"""『エクストリームクエスト』について"""
text01#0,"""「エクストリームクエスト」について説明します。<br><br>「エクストリームクエスト」は、過酷な状況下での<br>任務達成能力を高めるために用意された訓練プログラムです。<br><br>アークスシップの格納庫に固定されたキャンプシップの<br>テレプールからＶＲ空間にダイブすることが可能となっています。<br><br>ＶＲ空間では「ステージ」と呼ばれるエリアが幾重にも連なっており<br>定期的に拡張されていきます。"""
text02#1,"""「エクストリームクエスト」を開始するには<br>「エクストリームパス」が必要となります。<br><br>「エクストリームパス」はログイン時に受け取るか<br>装備管理官プリンから受け取ることができます。<br><br><yellow>アカウントにつき、２２時間ごとに１回<c><br>受け取ることができます。"""
text03#1,"""エクストリームクエストでは倒したエネミーが<br>「<yellow>原石<c>」や「<yellow>欠片<c>」と呼ばれるアイテムを<br>ドロップする場合があります。<br><br>原石・欠片には種類があり、入手できる種類は<br>エクストリームクエストごとに異なります。<br><br>また、エネミーのドロップ以外にも<br>クエストの最終エリアをクリアすることで<br>大量に入手することができます。<br><br>原石と欠片はアークス・ロビーの魔石交換ショップで<br>強力な武器や防具と交換することができます。"""
