name01#0,"""Cofy."""
11_voice_NPC_5050_104#0,"""<%me>.<br>Good work.<br>I am Officer Cofy."""
text02#0,"""I have received permission from the <br>Dragorii on Planet Amduskia to enter <br>the ""Dragon Altar"" deep within the Skyscape."""
text03#0,"""You have already more than proven <br>your abilities. There is no need for a <br>search permission test or application."""
text04#0,"""Please feel free to head out whenever <br>you've got the time to conduct searches <br>or missions."""
text05#0,"""Now then, keep up the good work."""
name01#1,"""コフィー"""
11_voice_NPC_5050_104#1,"""<%me>さん。<br>お疲れ様です。<br>管理官のコフィーです。"""
text02#1,"""惑星アムドゥスキアの龍族より<br>浮遊大陸の奥に位置する「龍祭壇」へ<br>立ち入りの許可をいただきました。"""
text03#1,"""すでに貴方の実力は証明されています。<br>探索許可申請試練の必要はありません。"""
text04#1,"""貴方の随意のタイミングで<br>調査や任務へと赴いてください。"""
text05#1,"""では、今後とも<br>よろしくお願いします。"""
