un_064100_0010#0,"""あらあら<br><%me>さん。<br>こんにちはあ。"""
un_064100_0020#0,"""ハリエットは<br>オメガに残りましたよお。<br>今、リサの中にはリサだけですねえ。"""
un_064100_0030#0,"""ハリエットと話したくても<br>リサにはなにもできませんよお。"""
un_064100_0040#0,"""大丈夫？"""
un_064100_0050#0,"""寂しいの？"""
un_064100_0060#0,"""リサの不安定な魂のことですかあ？<br>ハリエットがいなくなっても<br>リサはリサのままですよお。"""
un_064100_0070#0,"""寂しい、ですかあ？<br>よくわかりませんねえ。"""
un_064100_0080#0,"""リサの魂は不安定だと話しましたが<br>ハリエットがいなくなっても<br>なにがどうなるわけではないですよお。"""
un_064100_0090#0,"""でも、創世器は残してくれました。<br>性能は少し落ちていますが<br>これまで通り戦えますよお。"""
un_064100_0100#0,"""ハリエットとまた会うんですからねえ。<br>敵さんを撃って撃って撃って<br>撃ちまくりますよお。"""
un_064100_0110#0,"""ふふっ、ふふふふっ……"""
linewindow001#0,"""リサ(EP6)をパートナーとして呼べるようになりました。"""
