IncidentJsApcBegin#0,"""APC共闘開始"""
IncidentJsApcSuccess#0,"""APC共闘成功"""
IncidentJsApcFailure#0,"""APC共闘失敗"""
IncidentJsApcBeginEvo#0,"""APC共闘発展開始"""
IncidentJsApcSuccessEvo#0,"""APC共闘成功"""
IncidentJsApcBegin#1,"""/ci1 2 ニャウが敵を引き寄せるっていうのは<br>知ってたけど、こんなのも呼ぶんだ……<br>すみません、手伝ってもらえますか？"""
IncidentJsApcSuccess#1,"""/ci2 1 終わったかな？<br>じゃ、これ、受け取ってもらえます？<br>チョコレート、普段のお礼ってことで。"""
IncidentJsApcFailure#1,"""/mn13 /ci1 3 あっ、チョコレートが……<br>ごめんなさい、一旦失礼します。"""
IncidentJsApcBeginEvo#1,"""/mn34 /ci5 2 なんか起きそうな感じ……<br>まだ来そうですよ。"""
IncidentJsApcSuccessEvo#1,"""/ci2 1 終わったかな？<br>じゃ、これ、受け取ってもらえます？<br>チョコレート、普段のお礼ってことで。"""
IncidentJsApcBegin#2,"""/mn15 /ci2 2 ニャウー、ニャウー、ニャウニャウー！<br>ってニャウじゃないすっごいの来た！<br>誰か、誰か、手伝ってーっ！"""
IncidentJsApcSuccess#2,"""/mn37 /ci2 1 やったね、大成功！<br>はい、パティちゃん特製手作りチョコ！<br>ちゃーんと、食べてね！"""
IncidentJsApcFailure#2,"""/mn13 /ci4 3 あー、チョコレートがっ！<br>さすがにこれじゃあ渡せない！<br>一旦撤退！\u3000撤退だーっ！"""
IncidentJsApcBeginEvo#2,"""/mn18 /ci1 2 およ、およよ？<br>まだ来そうだよ！"""
IncidentJsApcSuccessEvo#2,"""/mn37 /ci2 1 やったね、大成功！<br>はい、パティちゃん特製手作りチョコ！<br>ちゃーんと、食べてね！"""
IncidentJsApcBegin#3,"""/mn15 /ci2 2 いやあ、ニャウと遊んでいたらなんだか<br>すごいの呼ばれちゃったんだよねー。<br>悪いけど、ちょっと手伝ってくれる？"""
IncidentJsApcSuccess#3,"""/mn37 /ci2 1 いやー、大成功だったね！<br>はい、これチョコレート！<br>味は保証できないけど、受け取ってね。"""
IncidentJsApcFailure#3,"""/mn13 /ci4 3 あっちゃあ……<br>チョコレート渡そうと思ってたんだけど<br>これだと渡せないね、ごめん。"""
IncidentJsApcBeginEvo#3,"""/mn18 /ci1 2 おおっと、まだなにか来そうだねー。<br>第二ラウンド開始ってとこかな！"""
IncidentJsApcSuccessEvo#3,"""/mn37 /ci2 1 いやー、大成功だったね！<br>はい、これチョコレート！<br>味は保証できないけど、受け取ってね。"""
IncidentJsApcBegin#4,"""/ci1 2 ……ニャウの相手をしていたところ<br>見慣れない敵を呼ばれてしまいました。<br>すみませんが、手伝ってもらえますか。"""
IncidentJsApcSuccess#4,"""/mn17 /ci2 1 ありがとうございました。<br>お礼、というわけではありませんが<br>このチョコを貰っていただけませんか。"""
IncidentJsApcFailure#4,"""/ci4 3 申し訳ありません……<br>チョコを作ってきたのですが<br>今のでダメになってしまいました……"""
IncidentJsApcBeginEvo#4,"""/mn34 /ci1 2 この雰囲気は……<br>どうやら新手が来るようです。"""
IncidentJsApcSuccessEvo#4,"""/mn17 /ci2 1 ありがとうございました。<br>お礼、というわけではありませんが<br>このチョコを貰っていただけませんか。"""
IncidentJsApcBegin#5,"""/ci1 2 何なのよ、あのニャウってヤツ。<br>こんな面倒なのを残していって……<br>……ちょっと手伝ってもらえる？"""
IncidentJsApcSuccess#5,"""/ci2 1 まずまずってとこね。<br>あ、それと、コレあげるわ。<br>……何度も世話になったからね。"""
IncidentJsApcFailure#5,"""/mn13 /ci1 3 不甲斐ない結果だわ。<br>渡したいものもダメになっちゃうし……<br>残念だけど、またの機会ね。"""
IncidentJsApcBeginEvo#5,"""/mn34 /ci5 2 新手みたいね……<br>面倒だけど、気を抜かずに行くわよ。"""
IncidentJsApcSuccessEvo#5,"""/ci2 1 まずまずってとこね。<br>あ、それと、コレあげるわ。<br>……何度も世話になったからね。"""
IncidentJsApcBegin#6,"""/toge /ci1 1 あっ、センパイ！\u3000ニャウと戦ってたら<br>なんかすごいのを呼ばれちゃって……<br>悪いけど、手伝ってもらえないか！"""
IncidentJsApcSuccess#6,"""/mn6 /ci2 2 ありがとな、センパイ。<br>これを受け取って欲しいんだ。<br>いつも世話になってるからさ。"""
IncidentJsApcFailure#6,"""/mn13 /ci4 3 あ、チョコが……<br>……悪い、センパイ。<br>ちょっと出直してくる。"""
IncidentJsApcBeginEvo#6,"""/mn31 /ci2 2 ちぇっ、まだ来るみたいだ。"""
IncidentJsApcSuccessEvo#6,"""/mn6 /ci2 2 ありがとな、センパイ。<br>これを受け取って欲しいんだ。<br>いつも世話になってるからさ。"""
