11_voice_NPC_5215_111#0,"""どの項目が知りたいのかな？"""
text01#0,"""『リーリールーレット』って？"""
text02#0,"""『リーリールーレット』の遊び方（基本編）"""
text03#0,"""『リーリールーレット』の遊び方（応用編）"""
text04#0,"""この場を離れる"""
text00#0,"""『リーリールーレット』について"""
text01#1,"""『リーリールーレット』について説明します。<br><br>リーリールーレットは、ロビーにいる全員で<br>参加できるカジノゲームです。<br><br>リーリールーレットの盤面上部にある針が<br>停止する図柄を予測し、ＢＥＴを行います。<br>ＢＥＴした箇所が当たっていれば<br>ＢＥＴ額に応じた配当を得ることができます。"""
text02#1,"""ＢＥＴは１ゲームにつき最大２箇所まで可能で<br><red>「色」「数字」「色と数字の組み合わせ」<c>の<br>３種類の方法でＢＥＴを行えます。<br><br><red>「色」「数字」「色と数字の組み合わせ」<c>の<br>順に配当が高くなっていきます。<br><br>配当は少ないけど当たりやすい<red>「色」<c>か<br>一攫千金を狙った<red>「色と数字の組み合わせ」<c>か<br>それとも中間の<red>「数字」<c>のどれに<br>ＢＥＴするかはプレイヤー次第です。"""
text00#1,"""『リーリールーレット』の遊び方(基本編)について"""
text01#2,"""『リーリールーレットの遊び方』<br><br>ＢＥＴは、ＢＥＴ受付中の時間で行います。<br><br>床に描かれたマスに移動して<br>アクセスをすることでＢＥＴが行えます。<br><br>ＢＥＴ受付中は、ルーレットの盤面が<br>白く光り、カウントダウンを行います。"""
text02#2,"""『ＢＥＴ方法』<br><br>床に描かれたマスにアクセスすると<br>ＢＥＴするカジノコインの額を設定できます。<br><br>カジノコインは、１ゲーム毎に清算されます。"""
text03#1,"""『配当』<br><br>赤、青、緑の色にＢＥＴをし、的中した場合は<br>ＢＥＴ額の<red>３倍<c>のカジノコインを配当として<br>受け取ることができます。<br><br>１から５の数字にＢＥＴをし、的中した場合は<br>ＢＥＴ額の<red>５倍<c>のカジノコインを配当として<br>受け取ることができます。<br><br>赤１から赤５、青１から青５、緑１から緑５に<br>ＢＥＴをし、的中した場合はＢＥＴ額の<br><red>１５倍<c>のカジノコインを配当として<br>受け取ることができます。"""
text04#1,"""『ＢＥＴの取り消し』<br><br>ＢＥＴを取り消したい場合は<br>床に描かれたマスにアクセスし<br>「ＢＥＴの取り消し」を選択します。<br><br><red>※ＢＥＴ受付終了後は「ＢＥＴの取り消し」は<br>\u3000できません。<c>"""
text05#0,"""『ＢＥＴ後にエリア移動をした場合』<br><br>ＢＥＴした状態で、ＢＥＴ受付終了前に<br>「メセタンシューター」「マイルーム」<br>「ショップエリア」「ゲートエリア」等の<br>エリア移動を行うとＢＥＴが取り消されます。<br>ＢＥＴ受付終了後にエリア移動した場合は<br>結果に応じてカジノコインが増減します。<br><br><red>※リーリールーレットにＢＥＴ後には、<br>\u3000エリア移動を行わないようにご注意ください。<c>"""
text00#2,"""『リーリールーレット』の遊び方（応用編）について"""
text01#3,"""『リーリールーレット攻略』<br><br>リーリールーレットには、<br>過去２０ゲームの結果の<br>履歴が表示されます。<br><br>過去の履歴から傾向を考慮して<br>ＢＥＴしてみるのもいいでしょう。<br><br>まだ出ていない数字や色を狙うか<br>既に出た数字や色を狙うかは<br>プレイヤーの読み次第です。"""
text02#3,"""『特殊な図柄』について<br><br>リーリールーレットには、<br>全ＢＥＴが没収されてしまう<red>「クラッシュ」<c><br><br>チャンスに発展する<br><red>「ダブルチャンス」「トリプルチャンス」<c><br>の３つの特殊な図柄があります。"""
text03#2,"""<red>『ダブルチャンス』<c>について<br><br>マス目の端が点灯している<br>チャンスマスでルーレットが停止すると<br>内側の針が回転します。<br><br>内側の針が停止すると<br>最初に停止したマス目と合わせて<br><red>２つの当たり<c>が抽選されます。"""
text04#2,"""<red>『トリプルチャンス』<c>について<br><br>トリプルチャンスマスでルーレットが<br>停止すると内側からトリプルチャンス専用の<br>針が３つ登場します。<br><br>トリプルチャンスでは、内側のルーレットで<br><red>３つの当たり<c>が抽選されます。"""
text05#1,"""『リリーパ図柄』<br><br>リリーパ図柄は、<red>ダブルチャンス<c>か<br><red>トリプルチャンス<c>でルーレットが<br>停止した時のみ登場します。<br><br>針が<red>緑リリーパ図柄で停止すると<br>緑１から緑５が当たり<c>となります。<br>同様に青リリーパ図柄では、青１から青５が<br>赤リリーパ図柄では、赤１から赤５が<br>当たりとなります。<br><red>※リリーパ図柄で針が停止した場合は<br>\u3000「色」のみや、「数字」のみにＢＥＴした<br>\u3000場合はハズレ扱いとなります。<c>"""
text06#0,"""『複合当選』<br><br><red>ダブルチャンス<c>か<red>トリプルチャンス<c>の場合<br>ルーレットが同じマスで停止することが<br>まれにあります。<br><br>同じマスに停止した場合は<br>下記を掛け合わせた額が配当額となります。<br><red>・通常の倍率<br>・同じマス目で停止している針の数<br>・BETしたカジノコイン<c>"""
text07#0,"""『固定カメラ切り替え』<br><br>「<%Access>でカメラ切り替え」と<br>表示されている場所で<%Access>を押すと<br>ルーレット用固定カメラに切り替わります。<br><br>固定カメラの状態で<%Access>を押すと<br>固定カメラが解除されます。"""
text08#0,"""『固定カメラ切り替え』<br><br>「<%Access>でカメラ切替え」と表示されている場所で<br><%Access>ボタンを押すとルーレット用固定カメラに<br>切り替わります<br><br>固定カメラの状態で<%Access>ボタンを押すと<br>固定カメラが解除されます。"""
text09#0,"""『固定カメラ切り替え』<br><br>「タッチでカメラ切り替え」<br>と表示されている場所で画面にタッチすると<br>ルーレット用固定カメラに切り替わります。<br><br>固定カメラの状態で画面にタッチすると<br>固定カメラが解除されます。"""
