11_voice_NPC_5020_104#0,"""Fighters เกิดมาเพื่อใช้ knuckles"""
text02#0,"""พวกเขาถนัดในการเข้าประชิดและโจมตีอย่างต่อเนื่อง<br>และยังสามารถหลบและสวนการโจมตีกลับได้อีกด้วย"""
text03#0,"""วิธีที่ดีที่สุดในการเรียนรู้คือลงมือจริง ไม่ใช่อ่านตำรา"""
text04#0,"""ที่จริงข้าก็มี Cruncher พิเศษอยู่ที่นั่น<br>จงเอามันไปฝึกและกลับมาหาข้าเมื่อสำเร็จแล้ว"""
text100#0,"""Knuckles"""
text101#0,"""Knuckles ล้มศัตรูได้ด้วยการโจมตีผสมผสาน"""
text102#0,"""มาลองดูการโจมตีพื้นฐานของ Knuckle และ Photon moves<br><br>แม้ว่าจะต้องเข้าประชิดตัวเป้าหมายกว่าอาวุธอื่นๆ<br>และยังทำให้มีความเสี่ยงมาก แต่การโจมตีอย่างผสมผสานจะทำให้ศัตรูมีโอกาส<br>สวนกลับเพียงน้อยนิด ท่านให้ท่านสามารถชนะการต่อสู้แบบตัวต่อตัวได้ไม่ยาก"""
11_voice_NPC_5020_104#1,"""ファイターの特徴的武装といえば<br>やはりナックルだろうな。"""
text02#1,"""相手の懐に潜り込み、強烈な打撃を<br>たたき込む。スウェーバックで<br>回避してからの、反撃など、だ。"""
text03#1,"""まあ、基本的な扱い方は習うより慣れろ<br>触ってみた方が習得も早いだろう。"""
text04#1,"""ここにちょうど<br>ナックルを一つ用意してある。<br>これを使って少し練習してくるといい。"""
text100#1,"""『ナックル』について"""
text101#1,"""武器「ナックル」について、説明します。<br><br>ナックルは、コンビネーションアタックで圧倒する武器です。"""
text102#1,"""ナックル系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>最も敵に接近する必要があるリスクがありながらも<br>コンビネーションアタックで敵に反撃のスキを与えず<br>一対一の状況下では敵を圧倒できるでしょう。"""
