IncidentName#0,"""【原初の闇】撃破"""
TrialBeginMsg#0,"""時空の狭間最深層に潜む【原初の闇】を撃破せよ！"""
TrialAbstract#0,"""【原初の闇】を撃破せよ！"""
ToastMatoiBuffMsg#0,"""【マトイの願い】ＨＰ＆ＰＰ、攻撃力が上昇！"""
ToastHitsugiBuffMsg#0,"""【ヒツギの覇気】一定時間敵を束縛！"""
ToastHarrietBuffMsg#0,"""【ハリエットの神威】敵に大ダメージ！"""
NpcComOnBegin_1#0,"""/atime1.0 /voice11_voice_delicious_npcha_012 なんと禍々しい。<br>これが、彼者の真の姿……"""
NpcComOnGetAngry#0,"""/voice11_voice_delicious_npcha_014 ここからが、本番のようです。<br>最後まで、油断せずに！"""
HP_Under_50_1#0,"""/voice11_voice_delicious_npchi_012 絶対に負けない！<br>このまま押し切ろう！"""
NpcComOnLastPhase#0,"""/voice11_voice_delicious_npcma_012 あなた一人に<br>背負わせたりなんかさせない！<br>私も、一緒に戦う！"""
NpcComOnBuffMatoi#0,"""/voice11_voice_delicious_npcma_013 クラリッサ！\u3000あの人を守って！"""
NpcComOnBuffHitsugi#0,"""/voice11_voice_delicious_npchi_013 天叢雲、あの人を助けて！"""
NpcComOnBuffHarriet#0,"""/voice11_voice_delicious_npcha_015 この力、受け取ってください！<br>守護輝士！"""
HP_Under_10_1#0,"""/voice11_voice_delicious_npcma_016 今だよ！\u3000とどめを！"""
HP_Under_10_2#0,"""/voice11_voice_delicious_npchi_014 いっけえええええ！"""
HP_Under_10_3#0,"""/voice11_voice_delicious_npcha_016 守護輝士、今です！"""
NpcComOnPowerUp#0,"""/voice11_voice_delicious_npcma_014 決着をつけるよ！"""
