un_012200_0010#0,"""อ๊า โธ่เอ๊ย หงุดหงิดจังเลย!"""
un_012200_0020#0,"""...ส่งเสียงดังแบบนี้ไม่เป็นไรงั้นเหรอ?<br>ไม่ต้องห่วง นอกจากท่านแล้ว<br>คนอื่นๆ ไม่มีใครรู้ว่าชั้นอยู่ตรงนี้หรอก"""
un_012200_0030#0,"""เรื่องนั้นไว้ก่อนเถอะ อ๊า โธ่!<br>หงุดหงิดสุดๆ ! โธ่เอ๊ย!"""
un_012200_0040#0,"""ยิ่งบอกใครไม่ได้แบบนี้<br>ยิ่งหงุดหงิดเข้าไปใหญ่เลย!"""
un_012200_0050#0,"""เวลาท่านเจอเรื่องเครียดๆ<br>ท่านจัดการกับมันยังไงเหรอ?<br>ทำไงถึงจะหายอ่ะ?"""
un_012200_0060#0,"""ตั้งใจทำภารกิจ"""
un_012200_0070#0,"""หางานอดิเรกทำ"""
un_012200_0080#0,"""หวาว...สัมผัสได้ถึง<br>ความมุ่งมั่นของ ARKS เลย"""
un_012200_0090#0,"""ตั้งใจทำภารกิจตรงหน้า<br>จะได้ไม่ต้องคิดเรื่องอื่นงั้นเหรอ?<br>ถ้าเป็นเรื่องที่ชอบก็ไม่เลวเหมือนกันเนอะ"""
un_012200_0100#0,"""งานอดิเรก! ฟังดูเข้าท่าดีนี่นา!<br>ไปหาอะไรที่ตัวเองอยากทำงั้นสินะ!"""
un_012200_0110#0,"""ได้ทำสิ่งที่ตัวเองชอบเนี่ย<br>เป็นเรื่องที่ดีที่สุดแล้วล่ะ!"""
un_012200_0120#0,"""แล้วชั้นเหรอ? ชั้นอ่ะนะ<br>ก็ร้องเพลงไงล่ะ!<br>ร้องให้สุดเสียงไปเลย!"""
un_012200_0130#0,"""...เปล่าๆ <br>ชั้นไม่ร้องตรงนี้หรอกน่า<br>จะทำอะไรมันก็ต้องมีขอบเขตกันบ้าง!"""
un_012200_0140#0,"""อืม แต่ว่านะ ฟังดูน่าสนุกเหมือนกันแฮะ<br>เอาไว้ตารางงานว่างๆ แล้ว<br>ค่อยลองดูสักทีดีมั้ยน้า"""
un_012200_0150#0,"""A.P.238/4/4"""
un_012200_0010#1,"""あーっ、もう、いらいらするー！"""
un_012200_0020#1,"""……大声あげて大丈夫なのかって？<br>大丈夫よ、あなた以外の誰にも<br>見つからないし、わかりゃしないから。"""
un_012200_0030#1,"""それよりも、あー、もう！<br>いらいらするのよ！\u3000まったく！"""
un_012200_0040#1,"""具体的なことを言えないのが<br>ことさらいらいらするー！"""
un_012200_0050#1,"""あなたはさー、ストレスが<br>たまっちゃった時ってどうするの？<br>どうやって発散してる？"""
un_012200_0060#1,"""任務に集中"""
un_012200_0070#1,"""趣味に没頭"""
un_012200_0080#1,"""うわぁ……アークス精神に<br>満ち満ちてるんだねー。"""
un_012200_0090#1,"""戦闘だけしているってのも<br>なんだか味気ない感じがしない？<br>それが好きなことなら、いいけどさ。"""
un_012200_0100#1,"""趣味！\u3000いいねいいね、そーゆーの！<br>やりたいことをやってこそ、だね！"""
un_012200_0110#1,"""一番好きなことをやるってのは<br>やっぱりいいことなんだよね！"""
un_012200_0120#1,"""あたし？\u3000あたしはね<br>こーゆーときは歌うの！<br>声のあらん限りでね！"""
un_012200_0130#1,"""……いやいやここで<br>歌い始めたりはしないよ？<br>そのぐらいの常識はあるって！"""
un_012200_0140#1,"""ん、でも、それも面白いかな？<br>予告なしの突発ライブとか<br>そういうのやっちゃおうかなー。"""
un_012200_0150#1,"""A.P.238/4/4"""
