un_020210_0010#0,"""ท่าน <%me%>......<br>เอ่อ......ไม่ได้เจอกันนานเลยนะคะ"""
un_020210_0020#0,"""อ๊ะ...... ชั้นเหรอคะ? เป็นเพราะท่าน<br>ตอนนี้ชั้นก็เลยดีขึ้นกว่าแต่ก่อนแล้วค่ะ"""
un_020210_0030#0,"""เมื่อมาที่นี่ มันทำให้ชั้นนึกถึงเรื่องใน<br>ตอนนั้น หัวใจของชั้นเหมือนถูกบับรัด<br>ทันทีที่นึกถึงมัน ทว่า...... """
un_020210_0040#0,"""ถ้าชั้นก้าวข้ามมันไปไม่ได้......<br>ชั้นก็คงเดินหน้าต่อไปไม่ได้"""
un_020210_0050#0,"""แต่มีสิ่งหนึ่งที่ขั้นยังสงสัยอยู่<br>นั่นก็คือในตอนนั้น\u00a0 Clarissa<br>ได้หายไปที่ไหนกันแน่นะ"""
un_020210_0060#0,"""นั่นเป็น....... สิ่งที่อันตรายมากค่ะ<br>ชั้นพยายามจะตามหาอยู่นาน<br>แต่ก็ไม่พบเลยแม้แต่ที่ไหนๆ ....."""
un_020210_0070#0,"""ในตอนนั้นชั้นไม่ได้ใช้มัน......<br>เพียงแค่ถือมันเอาเฉยๆ เท่านั้น<br>แต่แค่นั้น ชั้นก็ทราบได้แล้วค่ะ"""
un_020210_0080#0,"""ใช่ ทราบว่านี่คือสิ่งที่คน<br>อย่างชั้นไม่อาจจะใช้ได้"""
un_020210_0090#0,"""เพียงแค่ถือเอาไว้เฉยๆ แต่ก็ทำให้<br>ชั้นรู้สึกเหมือนกับว่าหัวใจถูกฉีก<br>ออกเป็นชิ้นๆ ......"""
un_020210_0100#0,"""ในตอนนั้นชั้นเหมือนจำไม่ได้เลย<br>ว่าตนเองทำอะไรลงไป.....<br>ราวกับว่าถูกดึงลงสู่ขุมนรก....."""
un_020210_0110#0,"""เจ้าของที่แท้จริงของมันนั้น<br>สามารถใช้ของแบบนั้น<br>ได้ยังไงกันแน่นะ......"""
un_020210_0120#0,"""แต่ว่า เจ้าสิ่งนั่นบางที.....<br>มันควรจะต้องกลับคืนสู่เจ้าของที่แท้จริง<br>ของมัน ชั้นรู้สึกอย่างนั้นค่ะ"""
un_020210_0130#0,""".....ขออภัยค่ะ<br>จู่ๆ ชั้นก็รู้สึกไม่ค่อยดี<br>ขออนุญาตขอตัวก่อนนะคะ"""
un_020210_0010#1,"""<%me>様……<br>あの……お久しぶりです。"""
un_020210_0020#1,"""あ……私、ですか？\u3000おかげさまで<br>以前よりは、調子も戻りました。"""
un_020210_0030#1,"""ここに来ると、あの時のことを<br>思い出して、胸がきゅっと<br>苦しくなります、けど……"""
un_020210_0040#1,"""乗り越えないと……<br>先に進めませんから。"""
un_020210_0050#1,"""ただ、一つ気がかりなのは<br>あの時、何処かに行ってしまった<br>クラリッサの行方、です。"""
un_020210_0060#1,"""あれは……危ないです。<br>回収しようと、探しているのですが<br>どこにもなくて……"""
un_020210_0070#1,"""私は、あれを使ってはいません。<br>ただ持っていただけです。<br>それでも、わかりました。"""
un_020210_0080#1,"""ああ、これは私のような者が<br>使ってはならないんだ、って。"""
un_020210_0090#1,"""持っていただけで、心がずたずたに<br>引き裂かれていくような<br>そんな気がして……"""
un_020210_0100#1,"""自分が何をしているのか<br>わからなくなるような……<br>深淵に、引きずり込まれるような……"""
un_020210_0110#1,"""あれの本来の持ち主は<br>どうやってあんなものを<br>扱っていたのか……"""
un_020210_0120#1,"""でも、あれはきっと……<br>その正しい持ち主に返さないとダメ。<br>そんな気がします。"""
un_020210_0130#1,"""……すみません。<br>ちょっと、気分が優れないので<br>失礼させてもらいます。"""
