Title#0,"""新世を成す幻創の造神"""
Explanation#0,"""惑星・地球の太平洋上において<br>強大な幻創種の反応を確認した。<br>地球各地から集めた膨大なエーテルにより<br>世界を創り変えようとしている。<br>アークス各員は、至急現地へと赴き<br>目標を撃破し、その目的を阻止せよ。<br>――――――――――――――――――――<br>クエストクリア可能回数/1回<br>最大与ダメージ制限/999999<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""デウス・エスカを撃退せよ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
NpcComMsg1#0,"""これより、太平洋上に出現した<br>幻創大陸の中心にそびえ立つ<br>世界樹の消滅作戦を開始します。"""
NpcComMsg2#0,"""対象内を跋扈する幻創造神を倒せば、<br>世界樹は幻創大陸ごと消滅するはずです。<br>激戦が予想されます、お気をつけて！"""
Area0S#0,"""世界樹"""
Area0L#0,"""惑星・地球\u3000世界樹"""
Area1S#0,"""世界樹の頂"""
Area1L#0,"""惑星・地球\u3000世界樹の頂"""
Area2S#0,"""世界樹の頂"""
Area2L#0,"""惑星・地球\u3000世界樹の頂"""
Area3S#0,"""世界樹の頂"""
Area3L#0,"""惑星・地球\u3000世界樹の頂"""
Area3S#1,"""イースター島"""
Area3L#1,"""惑星・地球\u3000イースター島"""
QuestInfoPlanetName#0,"""惑星・地球"""
