text01#0,"""やぁ、リーダー！<br>ボクの助けが必要かな？"""
text02#0,"""ボクのパートナーカードは<br>イグニスに預けているからね。<br>彼女からもらってくれるかな。"""
11_voice_NPC_5655_104#0,"""今回の隊長はイグニスなんだ。<br>でも……まだあんまり話してないから<br>彼女のこと、よくわかんないんだよね。"""
text01#1,"""困っているアークスを助ける任務なんて<br>ほんと、ボクにピッタリだよね！"""
11_voice_NPC_5655_901#0,"""みんなは違う理由みたいだけど<br>人助けできてるんだから<br>理由なんてどうだっていいよね！"""
text03#0,"""リーダーも<br>困った時はボクを呼んでね！<br>すぐに駆けつけるからさ！"""
text01#2,"""リーダーってオシャレだよね。<br>武器とのコーディネートが<br>センスあるなって思ってたんだ。"""
11_voice_NPC_5655_101#0,"""見た目に気を配るのは大事だよね！<br>だってやっぱり、希望の戦士は<br>カッコよくなくっちゃ！！"""
text01#3,"""希望の戦士オプトレイオン参上！<br>うん、名乗りの準備も<br>バッチリだよっ！！"""
11_voice_NPC_5655_101#1,"""さぁ、行こう！<br>困っている人のために！"""
text01#4,"""あ、今回の任務だけど<br>ひと区切りついたみたいだよ。<br>お役に立ててよかった、よかった！"""
11_voice_NPC_5655_101#2,"""でも、一番うれしかったのは<br>みんながボクの作ったゴハンを<br>美味しいって食べてくれたことかな！"""
text03#1,"""たくさんおかわりしてくれたしさ！<br>モリモリ食べてもらえると<br>また作りたくなっちゃうよね。"""
text04#0,"""今度、リーダーも食べにきてよ。<br>リーダーが好きな料理<br>がんばって作るからさ！！"""
11_voice_NPC_5655_901#1,"""いつでも待ってるからね！<br>もちろん、人助けのお手伝いも<br>大歓迎だよ！"""
