Title#0,"""ข้อมูล"""
Menu_Notify#0,"""แจ้งข่าว"""
Menu_LoginStamp#0,"""Login Stamp"""
Menu_Tutorial#0,"""ตรวจสอบ Tutorial"""
Menu_Help#0,"""เมนูช่วยเหลือ"""
Menu_Tips#0,"""ข้อมูลที่เป็นประโยชน์"""
Menu_Element#0,"""ดัชนีความสามารถพิเศษ"""
Title#1,"""インフォメーション"""
Menu_Notify#1,"""お知らせ"""
Menu_LoginStamp#1,"""ログインスタンプ"""
Menu_Tutorial#1,"""チュートリアル確認"""
Menu_Help#1,"""メニューヘルプ"""
Menu_Tips#1,"""役立つ情報"""
Menu_Element#1,"""特殊能力辞典"""
Title#2,"""ตรวจสอบ Tutorial"""
Title#3,"""チュートリアル確認"""
Title#4,"""ข้อมูลที่เป็นประโยชน์"""
Title#5,"""役立つ情報"""
Title#6,"""Augpedia"""
Name#0,"""Augmentation"""
Info#0,"""รายละเอียด"""
ParameterTltle#0,"""แก้ไขพารามิเตอร์"""
HP#0,"""HP"""
PP#0,"""PP"""
Strike#0,"""Melee"""
Firearm#0,"""Range"""
Technic#0,"""Magic"""
Dex#0,"""Aptitude"""
DfpStrike#0,"""Melee Def"""
DfpFirearm#0,"""Range Def"""
DfpTechnic#0,"""Magic Def"""
AttributeResistFire#0,"""Fire Res"""
AttributeResistIce#0,"""Ice Res"""
AttributeResistThunder#0,"""Ligtning Res"""
AttributeResistWind#0,"""Wind Res"""
AttributeResistLight#0,"""Light Res"""
AttributeResistDark#0,"""Dark Res"""
Title#7,"""特殊能力辞典"""
Name#1,"""特殊能力名"""
Info#1,"""詳細"""
ParameterTltle#1,"""パラメーター補正"""
HP#1,"""ＨＰ"""
PP#1,"""ＰＰ"""
Strike#1,"""打撃力"""
Firearm#1,"""射撃力"""
Technic#1,"""法撃力"""
Dex#1,"""技量"""
DfpStrike#1,"""打撃防御"""
DfpFirearm#1,"""射撃防御"""
DfpTechnic#1,"""法撃防御"""
AttributeResistFire#1,"""炎耐性"""
AttributeResistIce#1,"""氷耐性"""
AttributeResistThunder#1,"""雷耐性"""
AttributeResistWind#1,"""風耐性"""
AttributeResistLight#1,"""光耐性"""
AttributeResistDark#1,"""闇耐性"""
