a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Area0S#0,"""仮想惑星 Type E"""
Area0L#0,"""仮想惑星 Type E"""
QuestInfoAreaName#0,"""仮想惑星 Type E"""
Title#0,"""T:仮想惑星実戦訓練"""
Explanation#0,"""本任務は、VR空間にて行う<br>特殊環境での実戦訓練である。<br>最新の演算データで構築された<br>アークスが未経験の戦闘環境を想定した<br>仮想惑星での戦闘訓練が目的だ。<br>アークス各員は、積極的に参加せよ。<br>――――――――――――――――――――<br>クエストポイント【704】達成でクリア<br>ルーム内のクエストポイント共有／有り"""
NpcComMsg1#0,"""まもなく、訓練を開始します。<br>目標は、出現したエネミーの討伐による<br>クエストポイントの目標値到達です。"""
NpcComMsg2#0,"""訓練となる舞台は<br>アークスが未経験の戦闘環境を想定した<br>仮想惑星となります。"""
NpcComMsg3#0,"""ただ、演算データに基づくものにしては<br>あまりに高い再現度で気になります。<br>気を抜かずに頑張ってください。"""
SimpleExplanation#0,"""クエストポイントをためろ！"""
