name_7616#0,"""マーサ"""
ssn_014660_0001#0,"""あっ、新入りの“星渡り”さん？"""
ssn_014660_0002#0,"""このレストコーナー、雰囲気いいでしょ？<br>あたしたち、いつもここに来るんだー。"""
ssn_014660_0101#0,"""キミ、頑張ってるんだってね。<br>ここでも噂になってるよ。すごいね。"""
ssn_014660_0102#0,"""でも、戦いもいいけどさ、<br>オシャレとかもしたくならない？"""
ssn_014660_0103#0,"""\""エステ\""は行ったことある？<br>もしないなら、教えてあげるよ！"""
ssn_014660_0201#0,"""エステってね、<br>いろいろコーディネートを楽しめるところなんだよ。"""
ssn_014660_0202#0,"""キミも行ってみたら？<br>きっと楽しめるよ！"""
ssn_014660_0301#0,"""えー、ノリわるーい。"""
ssn_014660_0302#0,"""しょうがないなー。<br>じゃー、また今度ね。"""
ssn_014660_0401#0,"""あっ、着いたみたいだね。"""
ssn_014660_0402#0,"""じゃー、あとは楽しむだけ！<br>オシャレしたら、見せに来てねー。"""
ssn_014660_0501#0,"""エステ、イイでしょー？"""
ssn_014660_0502#0,"""あたしたちもこれから、<br>エステに遊びに行くんだ！"""
