un_012560_0005#0,"""【對你而言的ARKS是......】<br>暫用文字"""
un_012560_0010#0,"""啊，<%me>。<br>每次遇見你，都會看到<br>你在努力偵查些什麼。"""
un_012560_0020#0,"""真可說是<br>ARKS的典範......"""
un_012560_0030#0,"""啊，不繞圈子了。<br>正好順便問你一下。"""
un_012560_0040#0,"""ARKS對外隱瞞<br>納貝流士的遺跡，這件事情<br>你做何感想？"""
un_012560_0050#0,"""例如說不信任高層，<br>還是不會這麼想，之類的"""
un_012560_0060#0,"""......呵，這種事情<br>果然不好輕易開口。<br>對不住，問了個不該問的問題。"""
un_012560_0070#0,"""對於必要的事物，要自行了解<br>並逐步自我判斷，<br>這是瑪麗亞說過的，我也很贊同。"""
un_012560_0080#0,"""最重要的，自己花費功夫<br>獲知的事情，不太容易忘記。"""
un_012560_0090#0,"""所以，為了求知而自發行動，<br>之後再逐步自我判斷就好。"""
un_012560_0100#0,"""接觸到納貝流士秘密的你，<br>有朝一日一定......"""
un_012560_0110#0,"""不，這才真的妄言了。"""
un_012560_0120#0,"""那，我先走一步了。"""
un_012560_0005#1,"""【あなたにとってアークスは……】<br>仮テキスト"""
un_012560_0010#1,"""あ、<%me>。<br>貴方、会うたび精力的に<br>何かを調査してるわよね。"""
un_012560_0020#1,"""アークスとして、模範的な姿だと<br>思うけど……"""
un_012560_0030#1,"""あー、めんどくさいし<br>丁度良いから、聞いちゃうわ。"""
un_012560_0040#1,"""アークスがナベリウスの遺跡について<br>隠し事をしていた、それについて<br>何か思うところはない？"""
un_012560_0050#1,"""上層部は信用できないとか<br>そういう気持ちはないのか、ってこと。"""
un_012560_0060#1,"""……ま、そういうことって<br>口に出して言うものじゃないわね。<br>ごめんなさい、野暮な質問だった。"""
un_012560_0070#1,"""必要なことは自分で知り<br>自分で判断していくことだ、って<br>マリアは言ってたし、あたしも同意。"""
un_012560_0080#1,"""なにより、自分で苦労して<br>知ったことって、忘れられなくなるし。"""
un_012560_0090#1,"""だから自分で知るために動いて<br>自分で判断していくといい。"""
un_012560_0100#1,"""ナベリウスの秘密に辿り着いた<br>貴方なら、きっといずれ……"""
un_012560_0110#1,"""ううん、これこそ野暮な話か。"""
un_012560_0120#1,"""それじゃ、あたしは行くわね。"""
