Form_Title#0,"""アークスハンドブック"""
Message_Title#0,"""メッセージ"""
No_ReadList_Results#0,"""既読件数が0件です。"""
Form_Title#1,"""アークスハンドブック"""
Form_Title#2,"""アークスハンドブック"""
Help_Text#0,"""<soft_yellow>ゲームを進めるうえで、役立つ情報が確認できます。<c><%TabBack><%TabForward><soft_yellow>でページ切替ができます。<c>"""
TitleRoot#0,"""ガイド一覧"""
Title100000#0,"""経験値を効率よく入手！"""
Title200000#0,"""メセタを効率よく入手！"""
Title300000#0,"""強い装備品を入手しよう！"""
Title400000#0,"""装備品を強化しよう！"""
Title500000#0,"""PSO2esと連動しよう！"""
TitleReadList#0,"""既読リスト"""
HeaderRoot#0,"""経験値やメセタ、武器などの上手な入手方法を<br>ご案内いたします。項目を選んでください。"""
Header100000#0,"""経験値は、クラスレベルを上げるために必要です。<br>エネミー撃破や、オーダー報酬などで入手できます。"""
Header200000#0,"""メセタは、アイテム購入や武器強化などに必要です。<br>不要品の処分や、オーダー報酬などで入手できます。"""
Header300000#0,"""レアリティ★13などの強力なレアアイテムを入手し<br>戦闘を有利にしましょう。"""
Header400000#0,"""武器や防具を強化すると、戦闘がさらに有利に。<br>強化するには、素材やメセタが必要です。"""
Header500000#0,"""『PSO2es』と連動させて、もっとお得に遊びましょう。"""
HeaderReadList#0,"""こちらでは、すでに読んだことがある項目から<br>再確認できます。"""
