un_012040_0001#0,"""???"""
un_012040_0010#0,"""...เฮ้อ"""
un_012040_0020#0,"""จำได้ว่าเคยพูดไปแล้ว<br>แต่ว่าท่านเป็นใครกันแน่คะ"""
un_012040_0030#0,"""ชั้นว่าชั้นพรางร่องรอยได้สมบูรณ์<br>แบบแล้วนะ? ทั้งๆ อย่างนั้น ท่านก็ยัง<br>เข้ามาใกล้ยังกับเห็นตัวชั้นได้อีก..."""
un_012040_0040#0,"""...แต่เอาเถอะ ถึงท่านจะดูไม่มีอะไรพิเศษ<br>กว่าคนอื่นก็ตาม"""
un_012040_0050#0,"""ทั้งที่ ARKS คนอื่นไม่มีทางพบตัวชั้นได้<br>แต่กลับมีท่านคนเดียวที่หาเจอ"""
un_012040_0060#0,"""เป็นเพราะสัมผัสพิเศษงั้นรึ หรือว่า..."""
un_012040_0070#0,"""ท่านควรใช้ความสามารถนี้<br>ทำประโยชน์ให้การคนที่กำลังหาใครบางคนอยู่นะ<br>คิดว่าน่าจะช่วยเค้าได้มากเลย"""
un_012040_0080#0,"""...ขอตัวค่ะ"""
un_012040_0090#0,"""A.P.238/3/7"""
un_012040_0001#1,"""？？？"""
un_012040_0010#1,"""……はぁ。"""
un_012040_0020#1,"""以前にも言ったと思いますが<br>あなたは一体何なんですか。"""
un_012040_0030#1,"""私は気配を完全に消していたんですよ？<br>それなのに、こともなげに<br>近寄ってくるなんて……"""
un_012040_0040#1,"""……まあ、あなたにそうは<br>見えていないのかもしれませんが。"""
un_012040_0050#1,"""他のアークスには見つからないのに<br>あなただけは私を見つける。"""
un_012040_0060#1,"""よほど敏感なのか、それとも……"""
un_012040_0070#1,"""その感覚の鋭さは<br>もの探しや人探しに<br>活かすべきだと思いますよ。"""
un_012040_0080#1,"""……では。"""
un_012040_0090#1,"""A.P.238/3/7"""
