ssc_506010_0010#0,"""む……？<br>なんだ、<%me>か。"""
ssc_506010_0020#0,"""こんなところでなにを？"""
ssc_506010_0030#0,"""ひとりは危なくない？"""
ssc_506010_0040#0,"""散歩がてら、このあたりのエネミーをな。"""
ssc_506010_0050#0,"""このあたりのエネミーなど、敵ではない。"""
ssc_506010_0060#0,"""そうだ。<br>ちょうどいい。ひとつ相談にのってくれないか？"""
ssc_506010_0070#0,"""その……相談というのは、<br>今後のリテムとエアリオの関係についてだ。"""
ssc_506010_0080#0,"""協力体制をとることになった今、<br>お互いのことをもっと知らねばならない。"""
ssc_506010_0090#0,"""だが、私はエアリオのことを、<br>あまりよく知らない。"""
ssc_506010_0100#0,"""とくに、戦い以外の、<br>文化や風習についてはな。"""
ssc_506010_0110#0,"""そこで、まずは面識のあるお前たちと、<br>交流を図っていければと思う。"""
ssc_506010_0120#0,"""なに、難しいことではない。<br>今、こうしているように、他愛のない会話ができればよい。"""
ssc_506010_0130#0,"""どうだろうか？"""
ssc_506010_0140#0,"""いくらでも大丈夫。"""
ssc_506010_0150#0,"""ナーデレフと話せて嬉しい。"""
ssc_506010_0160#0,"""そうか。助かる。"""
ssc_506010_0170#0,"""そ、そうか。<br>ならばよし。"""
ssc_506010_0180#0,"""ときに、マノンとは技術的な話などを、<br>いくらかしているのだが……。"""
ssc_506010_0190#0,"""アイナとは、<br>あまり話をする機会がなくてな。"""
ssc_506010_0200#0,"""……なんというか、<br>リテムには彼女のような気質の者は、あまりいないのだ。"""
ssc_506010_0210#0,"""なので、会話のきっかけが、<br>わからずにいる。"""
ssc_506010_0220#0,"""彼女とは、<br>ふだんどのように接しているだろうか？"""
ssc_506010_0230#0,"""たとえば、<br>なにか興味があることとか……。"""
ssc_506010_0240#0,"""ナーデレフの歌を気に入っている。"""
ssc_506010_0250#0,"""相手の特技の話とか。"""
ssc_506010_0260#0,"""私の歌？"""
ssc_506010_0270#0,"""ふむ。<br>そんな話でいいのか。"""
ssc_506010_0280#0,"""相手の特技？"""
ssc_506010_0290#0,"""私の場合は、<br>戦い……いや、歌か。"""
ssc_506010_0300#0,"""なるほど。<br>参考になった。礼を言う。"""
ssc_506010_0310#0,"""まだ、少し時間はあるか？<br><%me>の話も聞かせてもらいたい。"""
ssc_506010_0320#0,"""まずは、そうだな……。"""
