IncidentName#0,"""Crisis on Wopal!"""
TrialBeginMsg#0,"""ช่วยเหลือชาว Wopal!"""
TrialAbstract#0,"""กำจัด Gum Anemone !"""
IncidentName#1,"""ウォパル危機一髪！"""
TrialBeginMsg#1,"""ウォパルの原生住民を救出しろ！"""
TrialAbstract#1,"""ガムアネモネを破壊しろ！"""
NpcComOnBegin#0,"""/face1 เราพบชาว Wopal ถูกจับตัวไป!<br>ถ้าเป็นแบบนี้ต่อไปแย่แน่!<br>รีบไปช่วยพวกเขาเร็วเข้า!"""
NpcComOnSuccess#0,"""/face2 การช่วยเหลือสำเร็จ<br>ดูเหมือนเพื่อนใหม่ต้องการจะขอบคุณท่าน"""
NpcComOnFailure#0,"""/face4 ...สัญญาณของชาว Wopal หายไปแล้ว<br>ภารกิจช่วยเหลือล้มเหลว"""
NpcComOn1st#0,"""/face1 ชาว Wopal ใกล้ถูกกลืนโดยมอนสเตอร์นั่นแล้ว<br>รีบหาทางช่วยพวกเขาเร็ว!"""
NpcComOn2nd#0,"""/face1 พวกเขาจะถูกกินโดยเจ้านั้นแล้ว!<br>เร็ว รีบช่วยพวกเขาด้วยเถอะ!"""
NpcComOn3rd#0,"""/face1 พวกเขาถูกกลืนลงไปแล้ว<br>แต่มันยังไม่สายเกินไป<br>รีบช่วยพวกเขาออกมาตอนนี้"""
NpcComOnBegin#1,"""/face1 捕獲されている原生住民を発見。<br>このままでは危険です。<br>至急、救助をお願いします。"""
NpcComOnSuccess#1,"""/face2 救出、成功です。<br>原生住民も感謝しているようですね。"""
NpcComOnFailure#1,"""/face4 ……反応、消失しました。<br>任務失敗です。"""
NpcComOn1st#1,"""/face1 原生住民が呑み込まれています。<br>早く、助けてあげて下さい。"""
NpcComOn2nd#1,"""/face1 救出を急いであげて下さい。<br>このままでは完全に<br>呑み込まれてしまいます。"""
NpcComOn3rd#1,"""/face1 完全に呑み込まれてしまっています。<br>早く助けてあげないと<br>原生住民が危ないです。"""
NpcComOnBegin#2,"""/face1 เราพบชาว Wopal ถูกมอนสเตอร์จับตัวไป<br>รีบไปช่วยพวกเขาเร็วเข้า"""
NpcComOnSuccess#2,"""/face2 ดีมาก! การช่วยเหลือสำเร็จ<br>ดูเหมือนเพื่อนใหม่ต้องการจะขอบคุณท่าน"""
NpcComOnFailure#2,"""/face1 ภารกิจล้มเหลว...งั้นเหรอ<br>ช่วยไม่ได้ โปรดกลับไปยังภารกิจหลักของท่านเถอะ"""
NpcComOn1st#2,"""/face1 ชาว Wopal ถูกกลืนลงไปแล้ว...<br>รีบช่วยออกมาแล้วฟื้นพลังให้พวกเค้าเร็วเข้า"""
NpcComOn2nd#2,"""/face3 ชิ...<br>โดนมันกลืนลงไปขนาดนั้นเชียว<br>รีบช่วยเร็วเข้า ตอนนี้ยังทัน"""
NpcComOn3rd#2,"""/face3 ...โดนมันกลืนลงไปหมดแล้วเรอะ<br>แบบนี้แย่แน่...รีบช่วยเร็วเข้า"""
NpcComOnBegin#3,"""/face1 捕食されている原生住民を発見した。<br>急ぎ、救出に向かえ。"""
NpcComOnSuccess#3,"""/face2 よくやった、救出完了だ。<br>見ろ、原生住民も感謝しているぞ。"""
NpcComOnFailure#3,"""/face1 反応、消失……か。<br>仕方ない、通常任務に戻れ。"""
NpcComOn1st#3,"""/face1 原生住民を呑み込んでいっている……<br>彼らの回復と、救出を。"""
NpcComOn2nd#3,"""/face3 ち……<br>かなり呑み込まれてしまっている。<br>急がねば、手遅れになるぞ。"""
NpcComOn3rd#3,"""/face3 ……完全に呑み込まれてしまったか。<br>このままではまずい……救出を急げ。"""
NpcComOnBegin#4,"""/face1 เราพบปัญหาใหญ่แล้ว!<br>เราพบชาว Wopal ถูกมอนสเตอร์จับตัวไป!<br>รีบไปช่วยพวกเขาเร็วเข้า!"""
NpcComOnSuccess#4,"""/face2 ท่านทำได้! ยอดเยี่ยม!<br>พวกเขาดูมีความสุขมาก!"""
NpcComOnFailure#4,"""/face4 อ่า....โธ่....<br>...มันสายไปแล้ว<br>ภารกิจล้มเหลว"""
NpcComOn1st#4,"""/face1 ไอหย๊า ชาว Wopal ถูกมันกินแล้วจ้า !<br>รีบช่วยออกมาเร็วๆค่า !"""
NpcComOn2nd#4,"""/face4 อึก...โดนมันกินลงไปหลายคนแล้วนะ...<br>ถ้าไม่รีบช่วยจะไม่ทันนะค้า !"""
NpcComOn3rd#4,"""/face1 ว้าย โดนมันกลืนลงไปหมดแล้ว !?<br>ระ รีบช่วยเร็วๆเข้าเร็วๆเข้า<br>ไม่งั้นจะแย่จริงๆแล้วนะค้า !"""
NpcComOnBegin#5,"""/face1 たっ、たいへんですー！<br>原生住民がキモチワルイのに<br>捕まっちゃってます！\u3000救助をー！"""
NpcComOnSuccess#5,"""/face2 やったやった、やりました！<br>これで救出完了です！<br>原生住民も嬉しそうですね！"""
NpcComOnFailure#5,"""/face4 ああっ……もう……<br>……だめです。<br>任務、失敗です。"""
NpcComOn1st#5,"""/face1 げ、げげっ、原生住民が<br>食べられそうになってます！<br>早く救出してあげないと！"""
NpcComOn2nd#5,"""/face4 うう……かなーり呑み込まれて<br>しまっていますよう……<br>早く助けてあげないとー！"""
NpcComOn3rd#5,"""/face1 わわわっ、丸呑み状態！？<br>は、早く助けてあげないと<br>本当に本当に危ないですよー！"""
