text202005_1_1#0,"""おつかれー。<br>ゼクトたち、ずいぶんと<br>楽しかったみたいだぜ。"""
11_voice_NPC_5644_106#0,"""俺たちもここで<br>店員ごっこやって楽しんでたけどな！<br>そうだ、客の役やってくれよ！"""
text202005_2_1#0,"""カジノって<br>なかなかに面白えなあ。"""
text202005_2_2#0,"""ラムグラ不足で<br>カジノコイン稼ぎに行ったら<br>ハマっちまったぜ。"""
text202005_3_1#0,"""あー、俺もクーナちゃんや<br>キョクヤさんみてえに<br>指を曲げてえなー。"""
11_voice_NPC_5644_102#0,"""まあ、俺たちは古の規律のせいで<br>曲げられねえんだけどなー。"""
text202005_4_1#0,"""おい、髪の毛の色を変えるときは<br>気をつけろよ。"""
11_voice_NPC_5644_104#0,"""俺、前に元の色がわからなく<br>なっちまったことがあってよ。<br>あん時は参ったぜ。"""
text202005_4_3#0,"""キャラクリデータとかは<br>とっておかねえとなあ。"""
text01#0,"""キャストに新しい切り口の<br>アクセサリーだ？"""
text02#0,"""ったく、ゼクトのやつ<br>ワケわかんねーこと聞いてくるな……<br>そうだなあ、俺なら……"""
text03#0,"""「眼帯」とか「怨嗟のマント」<br>「エンジェランウィング」なんかも<br>闇の力に満ちてて、いいと思うぜ！"""
text04#0,"""まあ、俺の勝手な趣味だけどな！<br>意外とカッケーかもしれねえぞ？"""
text202005_5_1#0,"""なんだよ？<br>まだゼクトたちと会ってないのか？<br>行ってやってくれよ。"""
