name_7662#0,"""ダントレイ"""
ssn_005110_0001#0,"""新顔だな！<br>そうか、アークスとしての心得を学んでいるか。"""
ssn_005110_0002#0,"""もう少し腕を磨いたら、またここへ来るといいぞ！"""
ssn_005110_0101#0,"""よく来たな！<br>オレは打撃クラスの訓練教官、ダントレイだ！"""
ssn_005110_0102#0,"""グイーデンから話は聞いている。<br>ハンターについて学んでみるか？"""
ssn_005110_0151#0,"""と思ったが、クラスがハンターではないようだな。"""
ssn_005110_0152#0,"""訓練したいのであれば”クラスカウンター”で<br>クラスをハンターにしてきてくれ。"""
ssn_005110_0153#0,"""それと、ハンターのクラススキル<br>”マッシブハンター”を習得するのを忘れないようにな！"""
ssn_005110_0103#0,"""ハンターは近距離での戦闘に長けたクラスだ！"""
ssn_005110_0104#0,"""敵の攻撃をガードし、ステップで回避し……強烈なカウンターを叩き込む！<br>それが基本的な戦い方だ。"""
ssn_005110_0105#0,"""クラススキルを活用すれば、エネミーとの接近戦にも臆することなく、<br>カウンター攻撃を狙えるようになるだろう。"""
ssn_005110_0106#0,"""最初は……そうだな、“マッシブハンター”がオススメだ！"""
ssn_005110_0107#0,"""上手く使いこなして、エネミーを倒すんだ！"""
ssn_005110_0108#0,"""まあ、習うより慣れろだ！<br>課題を出すから、やってみてくれ！"""
ssn_005110_0301#0,"""そうか……。<br>ハンターとして一人前になりたければ、また来るんだぞ！"""
ssn_005110_0201#0,"""どうだ、少しは上達したか？"""
ssn_005110_0202#0,"""訓練してわかったと思うが、<br>やはりクラススキルが重要になってくる。"""
ssn_005110_0203#0,"""スキルは、覚えただけでは宝の持ち腐れだ。<br>使いこなせるようになってくれ！"""
