11_voice_NPC_5026_100#0,"""โอ..ท่านทำได้ดีมากเลย ข้าเห็นรายงานแล้ว<br>การกวาดล้างพวกมันช่างสวยงามจริงๆ! """
text02#0,"""Twin machineguns บดขยี้พวกศัตรู<br>ให้กลายเป็นเนื้อแฮมเบอร์เกอร์เลย<br>และแน่ใจว่าพวกมันต้องทรมาณก่อนตาย!"""
text03#0,"""ดูเหมือน Twin assaults จะเหมาะกับท่านมาก<br>ทำไมท่านไม่เก็บเอาไว้ใช้ล่ะ?"""
text04#0,"""ข้าพอใจกับรายงานฉบับนี้มา ดังนั้น..."""
11_voice_NPC_5026_101#0,"""จงทำดีต่อไป และทำให้แน่ใจว่าศัตรู<br>จะต้องทรมาณที่สุดก่อนมันจะตาย"""
text100#0,"""เกี่ยวกับ [ClientOrder]"""
text101#0,"""Barbara ได้ออก Client Order"""
11_voice_NPC_5026_100#1,"""ふふ……お疲れ様でしたあ。<br>報告も見ましたよお。<br>すばらしい……と思わず震えますねえ。"""
text02#1,"""細かくちくちく刻んでいって<br>いじめていじめていじめてあげる。<br>ツインマシンガンの特長ですよお。"""
text03#1,"""そのツインマシンガン<br>あなたの手に馴染んでいるようですし<br>そのまま持っていってくださいねえ。"""
text04#1,"""わたしは、この報告を見ることが<br>出来ただけで満足ですからねえ。"""
11_voice_NPC_5026_101#1,"""今後も、ツインマシンガンを<br>上手く使って、敵さんをいっぱい<br>たくさん苦しめてあげてくださいねえ。"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""バルバラにクライアントオーダーが発生しました。<br><br>バルバラはゲートエリア・中央ホールにいます。"""
