st_058160_0010#0,"""馬鹿な……僕が……敗れる……？"""
st_058160_0020#0,"""そうです。<br>貴方は守護輝士に、敗れたのです。"""
st_058160_0030#0,"""エフィメラは浄化された……<br>なのに何故、そこにいる！<br>何故消えない！\u3000ハリエット！"""
st_058160_0040#0,"""世界を決めるのは自分の意志。<br>……私は未来を望み<br>ゆえに今、私はここにいるんです。"""
st_058160_0050#0,"""……だが、無駄だよ、無駄さ！<br>ここは繰り返す世界なんだから！"""
st_058160_0060#0,"""今の僕を倒したところで<br>何度でも現れる！<br>それだけの因子がここにはある！"""
st_058160_0070#0,"""ふふ、ふふふ、ははははっ！<br>やはり、歴史はこうなった……<br>つまり、歴史は終わるってこと……"""
st_058160_0080#0,"""今ここで消えておいた方が<br>幾分かマシだったと、思うけど、ね。"""
st_058160_0090#0,"""それはどういう……"""
st_058160_0100#0,"""未来が希望だけだと思うなよ。<br>明日が光に包まれてるなんて思うな。<br>絶望はお前のすぐ側にいる。"""
st_058160_0110#0,"""繰り返し苦しめ、何度でも苦しめ。<br>世界の怨嗟を受け続け……<br>絶望のままに滅ぶがいいさ……！"""
st_058160_0120#0,"""はははっ、はははははっ！"""
st_058160_0130#0,"""最後はずいぶん捨て鉢な感じでしたが<br>負け惜しみ、でしょうか……"""
st_058160_0140#0,"""……そんなことより<br>ハリエットさん、大丈夫ですか？"""
st_058160_0150#0,"""大丈夫……と言っていいのかは<br>わかりませんが……<br>私の心は、ここにあります。"""
st_058160_0160#0,"""守護輝士、貴方のおかげです。"""
st_058160_0170#0,"""ですが、私のせいで皆や<br>世界に多くの被害を<br>もたらしてしまいました……"""
st_058160_0180#0,"""今更、私が生き延びても……"""
st_058160_0190#0,"""ハリエットぉーーーっ！<br>無事ね、無事ね、無事なのね！<br>はーーーーーっ、よかったぁーーーっ！"""
st_058160_0200#0,"""ま、マルガレータ……！？"""
st_058160_0210#0,"""……大変でしたね、ハリエット様。<br>まずは無事の再会を喜びましょう。"""
st_058160_0220#0,"""アリサ様まで……"""
st_058160_0230#0,"""ん？\u3000どうしてそんな沈んだ顔してんのよ？<br>嬉しくないの？\u3000生きてたのよ、アンタ。"""
st_058160_0240#0,"""生きてる……あ、いえ<br>しかし、私のせいで皆に迷惑を……"""
st_058160_0250#0,"""ばぁーか！<br>そんなんいちいち気にしてどーすんの！<br>王は迷惑かけてナンボなのよ！"""
st_058160_0260#0,"""しかも今回のは、アンタじゃなくて<br>エルミルってのが全部悪いの！<br>ハリエットが気にすることじゃないの！"""
st_058160_0270#0,"""ウチの神様見てみなさい！<br>気まぐれでサボったり神罰下したり<br>迷惑ってのはああいうのを言うのよ！"""
st_058160_0280#0,"""言うねえバカ王。<br>よっぽど神罰くらいたいと見える。"""
st_058160_0290#0,"""げっ、神様……！<br>これは言葉の綾というかなんというか……<br>う、嘘はついてないもーん！"""
st_058160_0300#0,"""まぁいいさ、神は寛大なもんだ。<br>神罰はあとまわしにしてやる。"""
st_058160_0310#0,"""結局神罰あるんじゃん！"""
st_058160_0320#0,"""それよりお前、わかってるか？<br>そのままだと消えてしまうぞ。"""
st_058160_0330#0,"""お前の器は消えた。<br>ここにあるのは魂の残滓のみ。"""
st_058160_0340#0,"""今はその残滓がはっきりしてるが<br>魂の受け皿たるものがなければ<br>それもいずれ形を保てなくなる。"""
st_058160_0350#0,"""……はい。わかっています。<br>もとより、私が心を持ったのが<br>奇跡だったのです。"""
st_058160_0360#0,"""そして、最後に皆さんと会えた。<br>私の記憶は、ここで終わっても十分。<br>心の底から、そう思います。"""
st_058160_0370#0,"""め、めったなことを言うんじゃないわよ！<br>せっかく友達になれたのに……<br>これでさよならとかありえない！"""
st_058160_0380#0,"""ちょっと神様！<br>神様なんだからなんとかしなさいよ！"""
st_058160_0390#0,"""お前ほんと無茶苦茶言うな。<br>だが、そのクソ度胸は大好きだぜ。"""
st_058160_0400#0,"""ハリエット。<br>お前の魂は、残るのが正しい歴史だ。"""
st_058160_0410#0,"""だからお前、あたしを継げ。<br>あたしの後釜として……<br>神として、この世界を支えろ。"""
st_058160_0420#0,"""……それを受け入れるなら<br>あたしがお前の身体になってやる。"""
st_058160_0430#0,"""そういうの得意だからな、あたし。<br>前に一度やったことあるし。"""
st_058160_0440#0,"""へくちっ！"""
st_058160_0450#0,"""でも、それでは貴方が……<br>エピックからも神の力が失われて<br>大変なことになるのでは……"""
st_058160_0460#0,"""神の力？！<br>そんなのより、ハリエットの方が<br>この世界には必要でしょうが！"""
st_058160_0470#0,"""ははは！<br>神の力をそんなの、って言ったか<br>バカ王！"""
st_058160_0480#0,"""いいぜその後先考えない感じ！<br>あたしの大好きな奴にそっくりだ！"""
st_058160_0490#0,"""へくちっ！\u3000へくちっ！"""
st_058160_0500#0,"""あたしは元々、亡霊だ。<br>ここに「ありえなかったもの」だ。<br>お前が気にすることは何もない。"""
st_058160_0510#0,"""どうせ消えるなら、誰かのために。<br>きまぐれな神の贈り物だと思って<br>受け取っとけ。"""
st_058160_0520#0,"""お前はマルガレータを救ってくれた。"""
st_058160_0530#0,"""お前はアルマを救ってくれた。"""
st_058160_0540#0,"""だからこれで、貸し借りなしだ。"""
st_058160_0550#0,"""……はい。<br>ありがとう、ございます。"""
st_058160_0560#0,"""……なんだかよくわからないけど<br>ハリエットがウチの神様になるってこと？"""
st_058160_0570#0,"""ということは、エピックとクエントが<br>併合するってことになるのかしら？"""
st_058160_0580#0,"""そうなると、国名変えないとよね！<br>神聖エピクエント魔道国、とか！"""
st_058160_0590#0,"""マルさん……<br>ネーミングセンスもひどいんですね。"""
st_058160_0600#0,"""「も」って何よ！\u3000「も」って！<br>アタシに不敬あったら<br>もれなくハリエットの神罰くだるわよ！"""
st_058160_0610#0,"""神罰なんてそんな気軽に<br>下せるものでもありませんよ。<br>それに、私もすぐに戻らないと。"""
st_058160_0620#0,"""戻るって、どこに？"""
st_058160_0630#0,"""神を引き継いだのですから<br>そのあるべき場所へ……<br>世界そのものに戻らねば。"""
