name_7002#0,"""アイナ"""
name_7001#0,"""マノン"""
name_7034#0,"""ルーシア"""
msn_041040_0010#0,"""ルーシア、ここにいたんだね！<br>急に飛び出していったから、心配したよ。"""
msn_041040_0020#0,"""……別に、ほっといても、良かったのに。"""
msn_041040_0030#0,"""でも、心のどこかでは、<br>誰かに見つけてほしいと思っていたのでしょう？"""
msn_041040_0040#0,"""本当に誰にも見つかりたくないなら、もっと遠くへ行っていたはずよ。<br>……私も、昔そうだったから。"""
msn_041040_0050#0,"""そんなわけ……っ！<br>……ううん、そう、かもね。"""
msn_041040_0060#0,"""この街に来た時、少しだけ期待してた。<br>これだけ人がいれば、記憶の手がかりを掴めるかも、って。"""
msn_041040_0070#0,"""なのに……街の風景を見ても、行き交う人たちを見ても、<br>何も思い出せなかった。"""
msn_041040_0080#0,"""ルーシア……。"""
msn_041040_0090#0,"""思い出さなきゃいけないの。<br>記憶を無くす前、あの場所で、私が何をしようとしていたのか。"""
msn_041040_0100#0,"""それが“使命”なら、果たさなきゃ。<br>それなのに……こんなところで立ち止まらなきゃいけないなんて！"""
msn_041040_0110#0,"""一緒に探しに行こう。"""
msn_041040_0120#0,"""ひとりで頑張らなくてもいい。"""
msn_041040_0130#0,"""……っ、何よ、それ。"""
msn_041040_0140#0,"""そんなふうに言われたら、また期待しちゃうじゃない……。"""
msn_041040_0150#0,"""……ひとりで頑張るしかないって、ずっと思ってたのに。"""
msn_041040_0160#0,"""そんなこと言われたら、もう、意地張れないじゃない……。"""
msn_041040_0170#0,"""<%me>の言う通り、<br>あたしたち、ルーシアの力になりたいんだ。"""
msn_041040_0180#0,"""この街で手がかりが見つからなくても、いいじゃない。<br>他のリージョンにも行ってみようよ！\u3000あたしたちと、一緒にさ！"""
msn_041040_0190#0,"""クロフォードも言っていたわ。今は行動を制限するけれど、<br>あなたのことが明らかになれば、判断を変えられるかもしれないと。"""
msn_041040_0200#0,"""道はきっと拓けるわ。一緒に、一歩ずつ進んでいきましょう。"""
msn_041040_0210#0,"""……何よ。みんなして、当然みたいに迎えに来て。<br>一緒に行こうって、手を引っ張って。"""
msn_041040_0220#0,"""勝手に決めないでよって言いたいのに……。<br>言えなくなっちゃったじゃない。"""
msn_041040_0230#0,"""でも……ありがと。少し、気持ちが軽くなったかも。"""
msn_041040_0240#0,"""もうちょっとだけ、頑張ってみる。<br>あなたたちと一緒に、ね。"""
