name01#0,"""アークマミ"""
text01#0,"""<%me>様。<br>突然の連絡、お許しください。"""
text02#0,"""お初にお目にかかります。<br>わたくしは「アークマミ」と申します。"""
text03#0,"""アークスシップ対抗戦の管理管轄を行う<br>ヒューマノイドインターフェイスです。"""
text04#0,"""以後、お見知りおきください。"""
text05#0,"""それでは、早速ですが、全艦挙げての<br>「アークスシップ対抗戦」<br>開催を近日予定しております。"""
text06#0,"""「アークスシップ対抗戦」とは<br>全プレイヤー参加型による、ポイントと<br>勝ち点により勝敗を競うバトルです。"""
text07#0,"""詳しい説明はショップエリアにいる<br>わたくしの所で行います。"""
text08#0,"""わたくしはモニュメント広場前で<br>御身が訪れるのをお待ちしています。<br>きっとすぐに見つかることでしょう。"""
text09#0,"""それでは、また。<br>お待ちしていますわ。"""
text10#0,"""『アークマミのいる場所』について"""
text11#0,"""アークマミはショップエリア・モニュメント広場にいます。<br><br>ショップエリアへ向かいましょう。"""
name01#1,"""アークマミ"""
text01#1,"""<%me>様。<br>突然の連絡、お許しください。"""
text02#1,"""お初にお目にかかります。<br>わたくしは「アークマミ」と申します。<br>以後、お見知りおきください。"""
text03#1,"""ただいま、アークスシップ全艦参加の<br>「アークスシップ対抗戦」の開催を<br>近日に予定しております。"""
text04#1,"""もしご興味があるようでしたら<br>モニュメント広場前にいるわたくしを<br>訪ねていただければ、と思います。"""
text05#1,"""御身とお会いできることを<br>楽しみにしていますわ。<br>それでは、また。"""
