un_020180_0010#0,"""Armagenesis ที่ชื่อ Clarissa?<br>อ๋อ แน่นอน รู้จักอยู่แล้วสิ"""
un_020180_0020#0,"""แร่ขาว Clarissa<br>Armagenesis ในรูปไม้เท้าที่เป็นอาวุธ<br>เฉพาะของ Clariskrays ใช่มั้ยล่ะ?"""
un_020180_0030#0,"""แล้ว Clarissa นั่นทำไมล่ะ?<br>จะมาขอให้ทำเลียนแบบงั้นเหรอ?<br>......อะไร ไม่ใช่หรอกเรอะ"""
un_020180_0040#0,"""......ไอ้ที่เอามาฝากซ่อมเมื่อวันก่อน<br>ก็คือ Clarissa ที่ว่า...?<br>บ้าแล้ว เป็นไปไม่ได้"""
un_020180_0050#0,"""ข้าเองก็เคยเห็น Armagenesis ชิ้นอื่นมาบ้าง<br>แต่อันที่เจ้าว่าน่ะ คุณภาพมันต่ำเกินไป<br>ถึงจะอยู่ระหว่างการซ่อมแต่ข้าก็ดูออก"""
un_020180_0060#0,"""Armagenesis ของจริงน่ะนะ มันต้อง......<br>สามารถสัมผัสได้ถึงพลังอันร้ายกาจในตัวมันเอง"""
un_020180_0070#0,"""แต่ถึงวันนี้ ข้ายังไม่เคยสัมผัส<br>พลังที่ว่าได้จากไอ้นั่นเลยสักครั้งเดียว......"""
un_020180_0080#0,"""......Clarissa น่ะ สาบสูญไปนานแล้ว<br>และถ้าไม่ใช้เจ้าของที่แท้จริงของมันล่ะก็<br>คงไม่มีทางได้เห็นพลังที่แท้จริงของมันหรอก"""
un_020180_0010#1,"""クラリッサという創世器？<br>ああ、もちろん知っておるぞ。"""
un_020180_0020#1,"""白錫クラリッサ。<br>クラリスクレイス専用器と言われる<br>ロッド型の創世器じゃろう？"""
un_020180_0030#1,"""して、そのクラリッサがどうした？<br>模倣品を作れという依頼か？<br>……なんじゃ、違うのか。"""
un_020180_0040#1,"""……この前修繕したあれが<br>そのクラリッサだった、だと……？<br>そんなバカな。"""
un_020180_0050#1,"""わしはほかの創世器を見たことがあるが<br>あれでは、ポテンシャルが低すぎる。<br>修繕が不完全というのを差し引いてもだ。"""
un_020180_0060#1,"""創世器というのはもっと、こう……<br>おぞましいほどの力を感じるものじゃ。"""
un_020180_0070#1,"""あれからは、それほどの力を<br>感じることがなかったが……"""
un_020180_0080#1,"""……クラリッサは、いわくつきだ。<br>正当な所有者でなければ、あるいは<br>本来の力を見せないのかもしれん。"""
