text01001#0,"""Hiya!<br>You're with ARKS, yeah?"""
text01002#0,"""Hmm, mmhmm, yeah, you pass!"""
text01003#0,"""Oh, uh, sorry.<br>My name's Shea."""
text01004#0,"""I could use your help.<br>Will you hear me out?"""
text02001#0,"""How are you progressing?<br>I'll wait as long as it takes!"""
text03001#0,"""How was it? <br>Did you get a nice taste of <br>freedom on Independence Day?"""
text03002#0,"""I still have a bit more to do,<br>but just seeing everyone's <br>smiling faces was enough!"""
text03003#0,"""Refresh yourself a bit,<br>and keep working hard!"""
text01001#1,"""こんにちはっ！<br>貴方、アークスよね？"""
text01002#1,"""うん、うんうん、合格っ！"""
text01003#1,"""あ、ごめんごめん。<br>わたしの名前はシー。"""
text01004#1,"""協力して欲しいことがあるんだけど<br>話を聞いてくれないかな？"""
text02001#1,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
text03001#1,"""どうだったっ？<br>独立記念日イベントの間<br>たくさん自由を満喫したかなっ！"""
text03002#1,"""わたしはまだもうちょーっと<br>やることあるんだけど<br>みんなの笑顔を見ただけでじゅーぶん！"""
text03003#1,"""うんとリフレッシュして<br>これからも頑張ってね！"""
