un_043900_0010#0,"""<%me>、どうした？<br>私の身体にどこかおかしなところが？"""
un_043900_0020#0,"""１．その髪の色、もしかして……"""
un_043900_0030#0,"""２．普通とは、雰囲気が違うね"""
un_043900_0040#0,"""髪の色、か……<br>これはまあ、私の特徴というか……"""
un_043900_0050#0,"""……そう、だろうか。<br>私は至って普通のアークスだ。"""
un_043900_0060#0,"""下手なごまかしは不要ですよ、アイカ。"""
un_043900_0070#0,"""司令。"""
un_043900_0080#0,"""アイカも、貴方がたと同じく<br>ダークファルスの力を抱えた者同士ですからね。<br>わかって当然、といえるでしょう。"""
un_043900_0090#0,"""半年ほど前に、ダークファルス【若人】が<br>復活しかけた事件がありましてね。"""
un_043900_0100#0,"""マトイさんの協力もあって<br>ダークファルス【若人】は<br>再度封印することが出来ましたが……"""
un_043900_0110#0,"""そのときに、少し無茶をして……<br>この髪はその後遺症、といったところだ。"""
un_043900_0120#0,"""少し無茶、とはずいぶん手抜きな説明ですね。<br>起きたばかりのマトイさんまで巻き込んで<br>あやうく一大事だったというのに……"""
un_043900_0130#0,"""それは……そう、ですが。"""
un_043900_0140#0,"""１．……マトイにも関係があるのか？"""
un_043900_0150#0,"""２．……詳細な内容を教えて"""
un_043900_0160#0,"""……そうですね。<br>貴方には仔細を知っておいてもらった方が<br>いいでしょう、アイカ。"""
un_043900_0170#0,"""私はイツキやリナたち……いや、協力者から<br>ダークファルス【若人】の因子を引き受けたのだ。<br>そのまま、封印される覚悟で……"""
un_043900_0180#0,"""しかし、マトイ様は私を救おうと考え<br>集い始めた闇を束ね、リリーパの地下へ<br>再封印しようとした。"""
un_043900_0190#0,"""ですが、その当時のマトイさんの力では<br>膨大なダーカー因子をコントロールしきれなかった。"""
un_043900_0200#0,"""それだけではなく、アイカの内に集いつつあった<br>闇を、自らの身体で引き受け始めたんです。"""
un_043900_0210#0,"""……おそらくマトイ様はそうなることを<br>予想していたのだと思う。"""
un_043900_0220#0,"""器としては、私よりもマトイ様の方が数段上。<br>だから、自ら闇を引き受ける覚悟で<br>私を助けようとしてくれた。"""
un_043900_0230#0,"""かつて、【深遠なる闇】になったというのに<br>それでも自らの身をかえりみることなく……"""
un_043900_0240#0,"""だが、そのときだった……<br>どこからか、奴が姿を見せた。"""
un_043900_0250#0,"""……「ディーオ・ヒューナル」。<br>アークスがそう呼称する、【深遠なる闇】の化身。<br>出現記録は、一分にも満たないほどでした。"""
un_043900_0260#0,"""奴は……ダークファルス【若人】を励起するわけでも<br>目覚めさせようとするわけでもなく、私たちから<br>闇を吸収し、去って行った。"""
un_043900_0270#0,"""マトイ様を見て、しかし何もせずに……"""
un_043900_0280#0,"""……それが事件の顛末です。あとは事後処理。<br>もっとも、そちらが大変だったんですけどね。"""
un_043900_0290#0,"""アイカは奇跡的にダークファルスの依代とならずに<br>済みましたが、深刻な侵食状況でした。<br>よく生きていたものですよ、あれで。"""
un_043900_0300#0,"""すべてはマトイ様のおかげだ。<br>そこから治療が完了するまで、およそ半年。<br>今はもう活動になんの支障もない。"""
un_043900_0310#0,"""マトイさんも、侵食の浄化処理のため<br>短期的なコールドスリープを<br>経過観察をしながら行っています。"""
un_043900_0320#0,"""彼女には前科的なものもあるので……<br>特にメディカルチームが神経質でしてね。"""
un_043900_0330#0,"""もっとも……それもまもなく、終わります。"""
un_043900_0340#0,"""先日、メディカルチームから連絡がありました。<br>遠からず会えると思いますよ。<br>マトイさんにも。"""
un_043900_0350#0,"""……しかし、わからないのは<br>あのときの「ディーオ・ヒューナル」の行動。"""
un_043900_0360#0,"""奴がどうして私たちの闇を引き受け<br>そのまま何もせずに去って行ったのか……<br>……いまだに理解不能だ。"""
un_043900_0370#0,"""そうですね……<br>それは、私達には解りません。<br>私達は、奴ではないのですから。"""
un_043900_0380#0,"""……ですがきっと、貴方になら<br>なんとなく、わかるのではないですか？"""
