un_020540_0010#0,"""ん……？<br>ああ、あんた、アークスか。"""
un_020540_0020#0,"""おれ？\u3000おれもアークスだよ。<br>イオって言うんだ。<br>よろしくな、センパイ。"""
un_020540_0030#0,"""なにびっくりしてるんだ？<br>センパイ、ってのはあんたのことだよ。<br>……なんだ、言われ慣れてないのか。"""
un_020540_0040#0,"""おれがアークスになったのは<br>ついこの前だからさ。<br>あんたは必然的にセンパイ、だろ？"""
un_020540_0050#0,"""なんだ、コレが気になるのか？<br>珍しくもないだろ、こんなの。"""
un_020540_0055#0,"""センパイだって同じじゃないか。"""
un_020540_0060#0,"""デューマンはやっぱり<br>これが特徴だからな。<br>瞳だって色が違うぞ、ほら。"""
un_020540_0070#0,"""肌の紋様は……って<br>さすがにここで晒すのはまずいか。"""
un_020540_0080#0,"""何が、って顔しないでくれ。<br>そりゃ露出を好む奴がいるのも<br>知ってはいるけど、おれは違うんだ。"""
un_020540_0090#0,"""ほら、コレが２つあるだろ？<br>……それで察してくれよ。"""
un_020540_0100#0,"""それじゃな、センパイ。"""
