Kuro_favs_before_010#0,"""おっ！<br><%me><br>いいところにきたのみャ！"""
11_voice_NPC_5069_100#0,"""ほら、こいつをあげるのみャ。"""
11_voice_NPC_5069_101#0,"""オレっちってば太っ腹！<br>大切に使ってくれよみャ！"""
Kuro_favs_after_020#0,"""そんじゃ、またみャ～。"""
Kuro_favs_present_010#0,"""クロから『シンセサイザー』を受け取りました。"""
Kuro_favs_present_020#0,"""クロから『ディバインランチャー』を受け取りました。"""
Kuro_favs_present_030#0,"""クロから『ゼロディスタンス』を受け取りました。"""
Kuro_favs_present_040#0,"""クロから『シンセサイザー』を受け取りました。"""
Kuro_favs_present_050#0,"""クロから『ロデオドライブ』を受け取りました。"""
Kuro_favs_present_060#0,"""クロから『ゼロディスタンス』を受け取りました。"""
Kuro_favs_present_070#0,"""クロから『シンセサイザー』を受け取りました。"""
Kuro_favs_present_080#0,"""クロから『クレイジースマッシュ』を受け取りました。"""
Kuro_favs_present_090#0,"""クロから『フェイクシルエット』を受け取りました。"""
Kuro_favs_present_100#0,"""クロから『進化デバイス／クロ』を受け取りました。"""
Kuro_favs_present_add_001#0,"""クロから『<%skit_text>』を受け取りました。"""
Kuro_01_010#0,"""おっす！\u3000オレっちクロですみャ。"""
11_voice_NPC_5069_100#1,"""トロといっしょに<br>この世界にやってきた<br>クールなネコなのみャ。"""
Kuro_01_030#0,"""実はオレっち<br>手伝ってほしいことが<br>あるんだみャ！"""
Kuro_01_040#0,"""よかったら<br>話を聞いてほしいみャ。"""
Kuro_02_010#0,"""ここは<br>カワイコちゃんがいっぱいで<br>ウハウハなのみャ！"""
11_voice_NPC_5069_101#1,"""オレっち、いつか必ず<br>モテモテになってみせるみャ～！"""
