CHOICE_INNOCENT#0,"""บริสุทธิ์"""
CHOICE_FRESH#0,"""ร่าเริง"""
CHOICE_FAINTHEART#0,"""ขี้กลัว"""
CHOICE_COOL#0,"""เยือกเย็น"""
CHOICE_NAUGHTY#0,"""หัวดื้อ"""
CHOICE_QUIET#0,"""เรียบร้อย"""
CHOICE_NOISY#0,"""ช่างพูด"""
CHOICE_SHARP#0,"""ปากไม่ตรงกับใจ"""
CHOICE_BOYISH#0,"""ห้าว"""
CHOICE_NONE#0,"""แบบเดิมดีแล้ว"""
CHOICE_INNOCENT#1,"""無垢"""
CHOICE_FRESH#1,"""爽やか"""
CHOICE_FAINTHEART#1,"""気弱"""
CHOICE_COOL#1,"""クール"""
CHOICE_NAUGHTY#1,"""わんぱく"""
CHOICE_QUIET#1,"""おっとり"""
CHOICE_NOISY#1,"""無邪気"""
CHOICE_SHARP#1,"""不器用"""
CHOICE_BOYISH#1,"""ボーイッシュ"""
CHOICE_NONE#1,"""今のままでいい"""
CHANGE_START#0,"""ขอถามหน่อยนะคะ<br>มาสเตอร์คิดว่าฉันนิสัยเป็นยังไงคะ"""
CHANGE_PERSONAL#0,"""ฉันเริ่มคิดขึ้นมาแล้วว่าฉันขาดอะไร<br>บางอย่างไปรึเปล่า"""
CHANGE_ASK#0,"""เพราะงั้นขอถามมาสเตอร์หน่อยค่ะ<br>อยากให้ฉันเป็นแบบไหนคะ?"""
CHANGE_OK#0,"""รับทราบค่ะ<br>ฉันจะทำตามที่มาสเตอร์ต้องการ"""
CHANGE_HOLD#0,"""รับทราบค่ะ<br>งั้นก็ทำตัวอย่างเดิม"""
CHANGE_START#1,"""質問があります。<br>マスターは私の個性を<br>どのように思っているのでしょうか。"""
CHANGE_PERSONAL#1,"""今の私は、個性に乏しいのでは<br>ないかと思えてきたのです。"""
CHANGE_ASK#1,"""ゆえにマスター、質問します。<br>私にどのように、なってほしいですか？"""
CHANGE_OK#1,"""了解しました。<br>マスターの望み通りに……"""
CHANGE_HOLD#1,"""了解しました。<br>では、このままで……"""
CHANGE_START#2,"""จะว่าไปบางทีก็สงสัยเหมือนกันนะ<br>เธอชอบนิสัยแบบนี้ของฉันรึเปล่า"""
CHANGE_PERSONAL#2,"""ฉันอยากจะทำตัวให้ร่าเริงเท่าที่ทำได้ <br>ตามที่เธออยากให้เป็นน่ะนะ..."""
CHANGE_ASK#2,"""เธอพอใจรึเปล่า?<br>หรือว่าอยากให้เป็นแบบอื่นมากกว่า?"""
CHANGE_OK#2,"""หืม...<br>เธอต้องการอย่างนั้นสินะ"""
CHANGE_HOLD#2,"""งั้นต่อไปฉันจะลองทำตัว<br>ให้ร่าเริงขึ้นอีกนิดละกัน!"""
CHANGE_START#3,"""そういえばたまに気になるんだけど……<br>君は僕の個性ってやつを<br>気に入ってくれてるのかな。"""
CHANGE_PERSONAL#3,"""君が望むとおり、できる限り<br>爽やかに振る舞っている<br>つもりなんだけど……"""
CHANGE_ASK#3,"""満足してくれてるかな？<br>それとも、別の個性を<br>望んでいるのかな？"""
CHANGE_OK#3,"""ふーん……<br>それが君の望みなんだね。"""
CHANGE_HOLD#3,"""じゃ、これからはもう少し<br>爽やかに振る舞ってみるよ！"""
CHANGE_START#4,"""อะ เอ่อ ขอโทษนะครับ...<br>มีเรื่องอยากถามหน่อยน่ะครับ<br>เอ่อ เรื่องนิสัยของผมน่ะครับ..."""
CHANGE_PERSONAL#4,"""ถึงผมจะขี้กลัวแบบนี้ แต่ถ้าคุณต้องการ <br>ผมก็อยากอยู่เคียงข้างคุณครับ <br>แต่ก็แอบกังวลว่าแบบนี้จะดีแน่เหรอ..."""
CHANGE_ASK#4,"""ตกลงผมไม่ต้องเปลี่ยนเหรอครับ?<br>ให้อยู่ที่นี่แบบนี้เหมือนเดิมเหรอ?"""
CHANGE_OK#4,"""งะ...งั้นเหรอครับ...<br>แบบนั้นดีแล้วใช่มั้ยครับ <br>เข้าใจแล้วครับ"""
CHANGE_HOLD#4,"""เอ๊ะ บะ...แบบนี้ดีแล้วเหรอครับ?<br>...ขอบคุณครับ"""
CHANGE_START#5,"""あ、あの、すみません……<br>ちょっと聞きたいことがあって<br>あの、ぼくの性格、なんですけど……"""
CHANGE_PERSONAL#5,"""こんな気弱な僕でも、あなたが<br>望むならおそばに居たいんです。<br>でも、このままでいいのか不安で……"""
CHANGE_ASK#5,"""僕、変わらなくていいですか？<br>今のまま、ここにいていいですか？"""
CHANGE_OK#5,"""そ、そうですか……<br>そういうのが、いいんですね。<br>わかりました。"""
CHANGE_HOLD#5,"""え、こ、このままでいいんですか？<br>……ありがとうございます。"""
CHANGE_START#6,"""โทษทีนะ ถามหน่อยได้มั้ย?<br>บอกหน่อยสิว่าเธอคิดว่านิสัยของฉันเป็นยังไง"""
CHANGE_PERSONAL#6,"""ฉันเป็นอย่างที่เธอต้องการรึเปล่า? <br>เยือกเย็นเป็นปกติแบบนี้ ตรงกับที่เธอต้องการรึเปล่า"""
CHANGE_ASK#6,"""ฉันเป็นของฉันอย่างนี้ ไม่คิดจะเปลี่ยนหรอก<br>แต่ถ้าเธอต้องการก็เป็นอีกเรื่องนึง <br>เธออยากให้ฉันเป็นแบบไหนล่ะ?"""
CHANGE_OK#6,"""เข้าใจล่ะ<br>นั่นคือแบบที่เธอต้องการสินะ"""
CHANGE_HOLD#6,"""...งั้นเหรอ<br>ถ้างั้นฉันก็จะทำตัวแบบนี้ต่อไปนะ"""
CHANGE_START#7,"""すまない、少しいいか？<br>俺の性格について、お前がどう<br>考えているのか、聞かせて欲しい。"""
CHANGE_PERSONAL#7,"""俺は、お前の望みに応えられているか？<br>常にクールであれ、という希望に<br>応えられているだろうか。"""
CHANGE_ASK#7,"""俺は俺だ、変えようもない。<br>だが、お前が望むなら話は別だ…<br>お前は俺に、どうあってほしい？"""
CHANGE_OK#7,"""成る程、な。<br>それがお前の望む形か。"""
CHANGE_HOLD#7,"""……そうか。<br>では、このままの振る舞いを<br>続けさせてもらうとしよう。"""
CHANGE_START#8,"""นี่ ถามหน่อยได้ปะ?<br>บอกหน่อยสิว่าเธอคิดยังไงกับนิสัยของฉัน"""
CHANGE_PERSONAL#8,"""เพราะเธอบอกว่าจะดื้อก็ได้ <br>แต่ขอให้เติบโตอย่างเข้มแข็ง <br>ฉันถึงได้ทำตัวแบบนี้ไง"""
