name_7427#0,"""코르테스"""
ssn_014780_0001#0,"""여어여어!<br>내 이름은 코르테스."""
ssn_014780_0002#0,"""네 활약은 들었어.<br>그래도 아직 크바리스에 대해선 잘 모르지?"""
ssn_014780_0003#0,"""내가 힘이 돼 줄테니까 안심해.<br>힘들 땐 언제든 여기로 와!"""
ssn_014780_0101#0,"""여어여어!<br>매일 최선을 다하고 있어?"""
ssn_014780_0102#0,"""으음!\u3000그 눈…….<br>열정이 넘치는 눈이군."""
ssn_014780_0103#0,"""좋아, 그 마음가짐에 부응해서<br>내가 작은 과제를 내 주지."""
ssn_014780_0104#0,"""어때, 해 볼래?<br>전투의 폭이 넓어질 거야."""
ssn_014780_0201#0,"""뭐, 임무도 바쁠테니,<br>여유가 있을 때 도전해 봐."""
ssn_014780_0202#0,"""뭐든지 경험이 최고야.<br>해 봐서 손해 볼 건 없지."""
ssn_014780_0301#0,"""음, 마음이 안 내키나 보네.<br>그럴 때도 있는 거지 뭐."""
