un_020030_0010#0,"""นี่มันนี่มัน สวัสดีๆๆ<br>ยังแข็งแรงดีอยู่หรือเปล่า? Risa เองค่ะ"""
un_020030_0020#0,"""ที่นี่น่ะมันทั้งแปลกแล้วก็น่าสนใจซะจน<br>ชั้นรู้สึกคึกคักโดยไม่รู้ตัวเลยล่ะค่ะ"""
un_020030_0030#0,"""ไม่รู้สึกเลยเหรอ? คุณไม่รู้สึกเลยเหรอ?<br>ทีนี่น่ะมันให้ความรู้สึกแปลกมากเลยนะคะ?"""
un_020030_0040#0,"""คุณศัตรูที่โจมตีเข้ามามันก็แบบว่า<br>ความรู้สึกตอนยิงมันแปลกๆ น่ะค่ะ<br>จะพูดยังไงดีล่ะ"""
un_020030_0050#0,"""มันเหมือนยิงเป้าที่เตรียมไว้เพื่อ<br>ฝึกซ้อมเพียงแต่เป้านั้นมีจิตใจ<br>มันก็เลยรู้สึกอดใจไม่ได้เลยค่ะ!"""
un_020030_0060#0,"""สถานที่ๆ มีเป้าที่ขยับได้ดิ้นรนได้และ<br>ทรมานตอนตายอยู่เต็มไปหมดเนี่ย สำหรับ<br>Risa แล้วมันเป็นสถานที่ในฝันเลยล่ะค่ะ!"""
un_020030_0070#0,"""เอาล่ะถ้าเช่นนั้น Risa ก็คงจะต้อง<br>ขอตัวไปที่นั่นอีกครั้งแล้วนะคะ<br>ขอให้แข็งแรงค่ะ ขอให้แข็งแรงค่ะ"""
un_020030_0010#1,"""これはこれはどうもどうもどうも。<br>元気にやってますかあ？\u3000リサですよ。"""
un_020030_0020#1,"""ここはすっごくヘンでおもしろいので<br>思わずテンションが上がってますねえ。"""
un_020030_0030#1,"""感じません？\u3000あなたは感じません？<br>ここ、とおってもヘンな感じですよお？"""
un_020030_0040#1,"""襲ってくる敵さんもなんというか<br>撃っていて感触がおかしいんですねえ。<br>なんといえばいいんでしょうかねえ。"""
un_020030_0050#1,"""練習のために用意された的を<br>撃っているようで、でもその的に<br>意志がある。なんともたまらないです！"""
un_020030_0060#1,"""動いて悶えて苦しんで倒れてくれる的が<br>そこらじゅうにいーっぱいというのは<br>リサにとっての理想郷ですねえ！"""
un_020030_0070#1,"""ではではそれでは、リサは<br>またもう一度行ってきちゃいます。<br>ごきげんよう、ごきげんよう。"""
