name_7448#0,"""카츠라기"""
ssn_015331_0010#0,"""고맙습니다.<br>그럼 간단하게 말씀드릴게요."""
ssn_015331_0020#0,"""여기 스티아에서도 다른 리전처럼<br>리전 마그의 존재가 확인됐어요."""
ssn_015331_0030#0,"""전 이번에<br>그 효과 등을 조사하려 하는데……."""
ssn_015331_0040#0,"""다른 대원들에게 맡기려 해봐도<br>다들 저마다의 임무로 바쁘고……."""
ssn_015331_0050#0,"""전투가 생각 이상으로 길어져서<br>조사가 진전이 안 되고 있어요."""
ssn_015331_0060#0,"""그래서 당신 소문을 듣고,<br>힘을 빌려주셨으면 해서요."""
ssn_015331_0070#0,"""시간 나실 때여도 괜찮으니,<br>리전 마그의 데이터를 보내주실래요?"""
ssn_015331_0080#0,"""장소는 스티아 외연부에 있는<br>스토로볼 섬이에요."""
ssn_015331_0090#0,"""거기 있는 리전 마그에<br>아이템을 주기만 하면 돼요."""
ssn_015331_0100#0,"""잘 부탁드립니다!"""
