a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""決戦：最終標的"""
Explanation#0,"""敵大型戦艦を舞台に<br>最終標的と定めた強大なエネミーと<br>対決し、撃破することが目的です。<br>全力を出し切り、制限時間内での<br>撃破を目指してください。<br>――――――――――――――――――――<br>成功条件／Ｅトライアルのクリア<br>失敗条件／ライフポイントが０になる"""
SimpleExplanation#0,"""最終標的を撃破せよ！"""
NpcComMsg1#0,"""ああ、どうしよう……<br>まさか、最後のステップまで<br>たどり着いちゃうなんて……"""
NpcComMsg2#0,"""ここだけ、お姉ちゃんが<br>「ラスボスは私にまかせろー！」って<br>一人で実装しちゃったんですけど……"""
NpcComMsg3#0,"""なんか、すっごい爆笑してて……<br>「誰も来れないし、まいっか！」って。<br>と、とにかく……ファイトです。"""
Area0S#0,"""敵大型戦艦・甲板"""
Area0L#0,"""敵大型戦艦・甲板"""
