No00000#0,"""ไม่มี"""
No00001#0,"""Viola Cap"""
No00002#0,"""Fluffy Earmuffs"""
No00003#0,"""Haze Hat"""
No00004#0,"""Nurse Cap"""
No00008#0,"""Headset"""
No00009#0,"""Round Glasses"""
No00010#0,"""Oval Rim Glasses"""
No00011#0,"""Square Glasses"""
No00012#0,"""Wellington Glasses"""
No00013#0,"""Round Sunglasses"""
No00016#0,"""Crune Hat"""
No00017#0,"""Oval Glasses"""
No00018#0,"""Nurse Cap B"""
No00019#0,"""Large Round Glasses"""
No00020#0,"""Forage Cap"""
No00021#0,"""Sunglasses on Head"""
No00022#0,"""Eye Display"""
No00025#0,"""Goggles"""
No00027#0,"""Candy Headgear"""
No00028#0,"""Red Beret"""
No00029#0,"""Red Rim Glasses"""
No00030#0,"""Blue Headgear"""
No00031#0,"""Toque Cap"""
No00032#0,"""Tall Hat"""
No00033#0,"""Sports Sunglasses"""
No00034#0,"""Prim Headphones"""
No00035#0,"""Head Accessory"""
No00036#0,"""Blitz Girder"""
No00040#0,"""Cat Ears"""
No00044#0,"""Fox Ears"""
No00045#0,"""Droopy Fox Ears"""
No00060#0,"""Orange Eye Hat"""
No00061#0,"""Orange Eye Hat Midnight"""
No00062#0,"""Orange Eye Hat Tawny"""
No00063#0,"""Orange Eye Hat Gold"""
No00064#0,"""Orange Eye Hat Haze"""
No00070#0,"""Cyber Glasses"""
No00100#0,"""Blue Headgear Stealth"""
No00101#0,"""Blue Headgear Moonlight"""
No00102#0,"""Blue Headgear Dusk"""
No00103#0,"""Blue Headgear Autumn"""
No00110#0,"""Wedding Corsage"""
No00120#0,"""Maid Headband"""
No00130#0,"""Red Beret Dawn"""
No00131#0,"""Red Beret Birch"""
No00132#0,"""Red Beret Pomegranate"""
No00133#0,"""Red Beret Sunset"""
No00210#0,"""Frue Head"""
No00220#0,"""Tall Hat Ink"""
No00221#0,"""Tall Hat Willow"""
No00222#0,"""Tall Hat Predator"""
No00223#0,"""Tall Hat Stone"""
No00230#0,"""Halloween Head"""
No00240#0,"""Halloween Hat"""
No00250#0,"""Hibiscus"""
No00270#0,"""Small Fluffy Hair"""
No00271#0,"""Medium Fluffy Hair"""
No00272#0,"""Big Fluffy Hair"""
No00280#0,"""Crune Hat Gloom"""
No00281#0,"""Crune Hat Wisteria"""
No00282#0,"""Crune Hat Plum"""
No00283#0,"""Crune Hat Hollyhock"""
No00290#0,"""Viola Cap Woods"""
No00291#0,"""Viola Cap Daybreak"""
No00292#0,"""Viola Cap Tin"""
No00293#0,"""Viola Cap Cardinal"""
No04000#0,"""Type A Ears"""
No04001#0,"""Type B Ears"""
No04002#0,"""Type C Ears"""
No05000#0,"""Heart Glasses"""
No05010#0,"""Star Glasses"""
No05020#0,"""Brown Casket Cap"""
No05021#0,"""Black Casket Cap"""
No05022#0,"""White Casket Cap"""
No05023#0,"""Yellow Casket Cap"""
No05024#0,"""Pink Casket Cap"""
No05030#0,"""Bun Covers"""
No05040#0,"""Funny Ribbon"""
No05050#0,"""Spiral Glasses"""
No05060#0,"""Brown Ten-Gallon Hat"""
No05061#0,"""White Ten-Gallon Hat"""
No05062#0,"""Black Ten-Gallon Hat"""
No05063#0,"""Red Ten-Gallon Hat"""
No05064#0,"""Holstein Ten-Gallon Hat"""
No05070#0,"""Red Bonnet"""
No05071#0,"""White Bonnet"""
No05072#0,"""Black Bonnet"""
No05073#0,"""Purple Bonnet"""
No05074#0,"""Blue Bonnet"""
No05080#0,"""Goggles"""
No05090#0,"""White Tail"""
No05091#0,"""Black Tail"""
No05092#0,"""Brown Tail"""
No05093#0,"""Gray Tail"""
No05094#0,"""Yellow Tail"""
No05100#0,"""Fox Mask (Back)"""
No05101#0,"""Fox Mask"""
No05110#0,"""Rappy Mask (Back)"""
No05111#0,"""Rappy Mask"""
No05120#0,"""Zawoodan Mask (Back)"""
No05121#0,"""Zawoodan Mask"""
No05130#0,"""Sonic Mask (Back)"""
No05131#0,"""Sonic Mask"""
No05140#0,"""White Kanzashi """
No05141#0,"""Blue Kanzashi """
No05142#0,"""Purple Kanzashi """
No05150#0,"""Pink Scrunchie"""
No05151#0,"""Blue Scrunchie"""
No05152#0,"""Purple Scrunchie"""
No05160#0,"""Water Balloon"""
No05170#0,"""Snorkel"""
No05180#0,"""Red Swim Ring"""
No05181#0,"""Blue Swim Ring"""
No05190#0,"""Fan"""
No05191#0,"""Fan"""
No05200#0,"""Bunny Ears"""
No05210#0,"""Floppy Bunny Ears"""
No05230#0,"""Hair Antenna A"""
No05240#0,"""Hair Antenna B"""
No05250#0,"""Rappy Nest & Egg"""
No05251#0,"""Rappy Nest & Chick"""
No05260#0,"""Heartbreaker Hat"""
No05270#0,"""Chestnut Headgear"""
No05280#0,"""White Headband"""
No05281#0,"""Red Headband"""
No05290#0,"""Laurel Wreath"""
No05300#0,"""Straw Hat A"""
