name_7654#0,"""コミューナ"""
ssn_015140_0001#0,"""ヤッホー。<br>アークスの仲間はできた？"""
ssn_015140_0002#0,"""コミュニケーションの仕方いろいろあるから、<br>アタシが、教えてあげよっかー。"""
npc_menu_0001#0,"""タスクを受注する"""
npc_menu_0002#0,"""コミュニケーションについて聞く"""
npc_menu_0003#0,"""メニューを閉じる"""
ssn_015140_0101#0,"""ヤッホー。いいところに来たねー。<br>ちょうどキミと、お話ししたかったんだ。"""
ssn_015140_0102#0,"""キミは、仲間としっかりコミュニケーション、<br>とれてるかな？"""
ssn_015140_0103#0,"""よかったら、アタシがコツを教えてあげよっかー。"""
ssn_015140_0201#0,"""コミュニケーションでなにが大事かって、<br>あいさつとかお礼みたいな、初歩的なことだと思うんだよ、うん。"""
ssn_015140_0202#0,"""それをね、どんどんやっていこー！<br>……って、はなし。"""
ssn_015140_0203#0,"""さあ、恥ずかしがらずに。<br>やってみよー。"""
ssn_015140_0301#0,"""そっかー。気になったら、また来てね。<br>待ってるよ！"""
ssn_015140_0401#0,"""うんうん、上手くできたみたいだね！"""
ssn_015140_0402#0,"""そうやって、仲間とたくさん<br>コミュニケーションとってみてねー。"""
ssn_015140_0501#0,"""ヤッホー。<br>アークスの仲間はできた？"""
ssn_015140_0502#0,"""コミュニケーションの仕方いろいろあるから、<br>アタシが、教えてあげよっかー。"""
76540102_1#0,"""“スタンプ”について"""
76540102_2#0,"""“チャット”について"""
76540102_3#0,"""“ロビーアクション”について"""
76540102_4#0,"""“モーション変更”について"""
76540102_5#0,"""“ショートカットワード”について"""
76540102_6#0,"""“オートワード”について"""
76540102_7#0,"""“グループチャット”について"""
76540102_8#0,"""“シンボルアート”について"""
76540102_9#0,"""聞きたいことはない"""
