un_012550_0005#0,"""【不必絕望】<br>暫用文字"""
un_012550_0010#0,"""唉呀，你好。<br>看來你也是逃出生天了啊。"""
un_012550_0020#0,"""聽說那場對黑暗法爾斯的戰鬥<br>似乎有很大的損害，<br>因而有點在意而已。"""
un_012550_0030#0,"""呵，不只是你，<br>整個ARKS看來<br>會混亂也是理所當然。"""
un_012550_0040#0,"""事以至今，<br>驚慌失措也不是辦法。"""
un_012550_0050#0,"""不過，我覺得你也不用慌張。<br>該動作的，已經開始行動了。"""
un_012550_0060#0,"""沒錯，就算是我們<br>也不能坐視不管。"""
un_012550_0070#0,"""......當然，敵人方面<br>也可以這麼想。"""
un_012550_0080#0,"""所以，我們更不能<br>停下前進的腳步。"""
un_012550_0090#0,"""......我想說的是，我們彼此加油吧。<br>那麼，再見了。"""
un_012550_0005#1,"""【絶望はしなくていい】<br>仮テキスト"""
un_012550_0010#1,"""あら、こんにちは。<br>貴方は無事だったみたいね。"""
un_012550_0020#1,"""あのダークファルスとの戦闘で<br>相当な被害が出たっていう話だから<br>少し、気になってただけ。"""
un_012550_0030#1,"""まあ、貴方に限らず<br>アークス全体を見ても<br>混乱するのは当然よね。"""
un_012550_0040#1,"""こんなことになって<br>浮き足立っても仕方がないと思う。"""
un_012550_0050#1,"""でも、別に慌てる必要はないわ。<br>動く人は、動いてるから。"""
un_012550_0060#1,"""そう、あたしたちだって<br>ただ黙って見ていたわけじゃない。"""
un_012550_0070#1,"""……それはもちろん、敵の側にも<br>言えるんだけどね。"""
un_012550_0080#1,"""だからこそ、あたしたちは<br>歩みを止めちゃダメなんだと思う。"""
un_012550_0090#1,"""……お互い頑張りましょうってこと。<br>それじゃあね。"""
