ra_013030_0001#0,"""A.P.238/4/2"""
ra_013030_0010#0,"""嗯？\u3000你想知道過去發生了什麼事？<br>黑暗法爾斯出現時發生的事情<br>你想知道那些事？"""
ra_013030_0020#0,"""如果是以前學過的部分<br>我多少還記得一點，不過......"""
ra_013030_0030#0,"""......啊，可是我也不確定哦。<br>而且我最討厭唸書了。"""
ra_013030_0040#0,"""是不是全部正確<br>我也沒辦法確定，要是你不介意的話。"""
ra_013030_0050#0,"""就我的記憶所及<br>黑暗法爾斯這個名字<br>大概出現過2次吧。"""
ra_013030_0060#0,"""40年前的戰爭和<br>10年前的那件事。"""
ra_013030_0070#0,"""40年前的就是那個囉。<br>將黑暗法爾斯【巨軀】<br>給打倒的傢伙。"""
ra_013030_0080#0,"""嗯，實際上並不是打倒他<br>正確來說，應該是將他封印起來吧<br>好像是這個樣子。"""
ra_013030_0090#0,"""當時的主力陣容當中的<br>三個人，就是後來的三英雄。"""
ra_013030_0100#0,"""後來以三英雄為中心，在這場戰爭中<br>被打得七零八落的ARKS<br>才得以重建，大致過程就是這樣吧。"""
ra_013030_0110#0,"""然後，另一次就是10年前的事情。<br>這我也記得很清楚哦<br>當時的事情......"""
ra_013030_0120#0,"""黑暗法爾斯領軍<br>對ARKS發動大規模的攻勢。"""
ra_013030_0130#0,"""我想想......那場戰爭的結果是...<br>以第二代克拉雷斯的力量<br>擊退了黑暗法爾斯的勢力，應該是吧。"""
ra_013030_0140#0,"""但結果卻也因此而過世<br>所以現在的克拉雷斯是第三代。"""
ra_013030_0150#0,"""我記得當時還有<br>很多大名鼎鼎的人物也都被幹掉了<br>總歸一句話，損失慘重啊。"""
ra_013030_0160#0,"""當時不知有多少艘的戰艦<br>被他們擊落......"""
ra_013030_0170#0,"""不僅是ARKS而已<br>連一般市民也慘遭池魚之殃呢。"""
ra_013030_0180#0,"""我姐姐也在那時失蹤了......"""
ra_013030_0190#0,"""啊，抱歉！<br>我不該談起這件事的！"""
ra_013030_0200#0,"""唔，大致上就這樣啦。<br>有很多地方記不清楚，請多包涵哪。<br>有點想不太起來耶。"""
ra_013030_0210#0,"""每次試著回想過去發生的事情時<br>這次的情況或許還比較好一點。"""
ra_013030_0220#0,"""......身邊的親人<br>遭人殺害的經驗<br>一定會感到極度傷痛吧。"""
ra_013030_0230#0,"""......啊，不會啦。<br>反正傑諾還沒確定<br>會被幹掉啊。"""
ra_013030_0240#0,"""嗯，說、說的也是。<br>只不過是下落不明而已嘛。<br>不要緊、一定不要緊的！"""
ra_013030_0001#1,"""A.P.238/4/2"""
ra_013030_0010#1,"""ん？\u3000過去の出来事の話？<br>ダークファルスが出てきたときの<br>話が聞きたいって？"""
ra_013030_0020#1,"""そりゃ、習った部分なら<br>おれだって多少は覚えてるけど……"""
ra_013030_0030#1,"""……あー、でもどうかな。<br>おれ座学苦手だったし。"""
ra_013030_0040#1,"""全部あってるかどうかは<br>わからないけど、それでもいいなら。"""
ra_013030_0050#1,"""おれが覚えている限りだと<br>ダークファルスって名前が<br>出てきたのは、2回だなあ。"""
ra_013030_0060#1,"""40年前の戦争と<br>10年前にあった、アレ。"""
ra_013030_0070#1,"""40年前のはあれだよ。<br>ダークファルス【巨躯】を<br>倒した、ってやつ。"""
ra_013030_0080#1,"""まあ、実際には倒したんじゃなくて<br>封印した、ってのが正しかった<br>みたいだけどさ。"""
ra_013030_0090#1,"""そのときの主力メンバーだった<br>三人が、三英雄になったんだよ。"""
ra_013030_0100#1,"""三英雄が中心になって、その戦争で<br>ぼろっぼろになっちまったアークスを<br>立て直した、って流れのはず。"""
ra_013030_0110#1,"""んで、あと一回は10年前。<br>おれだって覚えてるよ<br>あのときのことは……"""
ra_013030_0120#1,"""ダークファルスによる<br>アークスへの大規模攻勢。"""
ra_013030_0130#1,"""ええと……あれの顛末は確か<br>二代目のクラリスクレイスの力で<br>ダークファルス共を押し返した、はず。"""
ra_013030_0140#1,"""でもそれで亡くなっちゃったらしくて<br>今のクラリスクレイスは三代目。"""
ra_013030_0150#1,"""確か、あのときは他にも<br>有名な人たちがたくさんやられて<br>とにかくひどい被害だったぜ。"""
ra_013030_0160#1,"""あれでどんだけのシップが<br>墜とされたんだろう……"""
ra_013030_0170#1,"""アークスだけじゃなくて<br>一般市民にも被害が及んで、さ。"""
ra_013030_0180#1,"""おれの姉ちゃんも、行方不明に……"""
ra_013030_0190#1,"""ああっと、すまねえ！<br>そういう話をしてるんじゃなかった！"""
ra_013030_0200#1,"""ま、そんなところかな。<br>曖昧なところが多いのは勘弁な。<br>なーんか思い出せなくてさ。"""
ra_013030_0210#1,"""過去の出来事を振り返ってみると<br>まだ今回はマシな方なのかもな。"""
ra_013030_0220#1,"""……身近なひとが<br>やられたってのは<br>けっこうこたえるけど。"""
ra_013030_0230#1,"""……ああ、いや。<br>ゼノさんはまだやられたって<br>決まったわけじゃないよな。"""
ra_013030_0240#1,"""うん、そう、そうだ。<br>行方不明なだけだからな。<br>大丈夫、大丈夫っと！"""
