Title#0,"""巨大機甲種．覺醒"""
Explanation#0,"""緊急連絡ARKS各成員。<br>在莉莉芭行星的地下坑道<br>發現有極巨大的熱能反應正在移動。<br>看來是沉睡中的巨型機甲種<br>因為某些原因而啟動了。<br>這樣下去可能會引起大災難。<br>各成員依序出擊後，與其他ARKS合作<br>擊破巨型機甲種，阻止其行動。<br>――――――――――――――――――――<br>失敗條件/在最深處敗北、超過限制時間"""
Title#1,"""巨大機甲種・覚醒"""
Explanation#1,"""アークス各員へ緊急連絡。<br>惑星リリーパの地下坑道にて<br>桁違いに巨大な熱源が動き始めている。<br>どうやら、眠っていた超弩級機甲種が<br>何らかのきっかけで起動した模様だ。<br>このままでは大きな被害が出てしまう。<br>各員、順次出撃の上、他のアークスと協力し<br>超弩級機甲種を撃退、沈黙させろ。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北、制限時間の経過"""
SimpleExplanation#0,"""擊破大型戰艦旺達！"""
SimpleExplanation#1,"""ビッグヴァーダーを撃破せよ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
