msc_010060_0010#0,"""まだくる!?"""
msc_010060_0020#0,"""うおおおおおおお！！"""
msc_010060_0030#0,"""お父さん!?"""
msc_010060_5010#0,"""はっ！"""
msc_010060_5020#0,"""うらあっ！"""
msc_010060_0040#0,"""ふう。胸騒ぎがして来てみれば、これか。"""
msc_010060_0050#0,"""アイナ、マノン、無事か？"""
msc_010060_0060#0,"""よし。<br>……で、お前さんは？"""
msc_010060_0070#0,"""ガロアだ。<br>よろしくな。"""
msc_010060_0080#0,"""降りてきたばかりだと、<br>右も左もわからないだろう。"""
msc_010060_0090#0,"""……マノンみたいに、<br>色々と知ってるってことは……。"""
msc_010060_0100#0,"""……なさそうだな。"""
msc_010060_0110#0,"""……町に戻ってから話すとするか。<br>アイナ、マノン、“レスタサイン”は集め終わったか？"""
msc_010060_0120#0,"""あ、そうだった！<br>集めないと。"""
