exit_confirm_title#0,"""ยืนยันเสร็จสิ้นรายการ"""
exit_confirm_message#0,"""เสร็จสิ้นการทำ Character Portrait<br>ท่านจะกลับไปที่ไตเติ้ลหรือไม่?"""
exit_confirm_title#1,"""終了確認"""
exit_confirm_message#1,"""キャラクターポートレートを終了し<br>タイトルに戻ります。<br>よろしいですか？"""
slash#0,"""/"""
slash#1,"""/"""
button1#0,"""กำหนดท่าโพส"""
button2#0,"""เลือกตัวละคร"""
button3#0,"""เลือกกรอบคำพูด"""
reset_transform_confirm_title#0,"""ยืนยันการรีเซ็ตค่า"""
reset_transform_confirm_message#0,"""ท่านจะทำการรีเซ็ตค่าของตัวละครหรือไม่?"""
button1#1,"""ポーズ設定"""
button2#1,"""キャラ選択"""
button3#1,"""吹き出し設定"""
reset_transform_confirm_title#1,"""配置リセット確認"""
reset_transform_confirm_message#1,"""キャラクターの配置をリセットします。<br>よろしいですか？"""
title#0,"""เลือกตัวละคร"""
Character_5071#0,"""Human Male"""
Character_5072#0,"""Cast Male"""
Character_5073#0,"""Newman Female"""
Character_5074#0,"""Cast Female"""
Character_5075#0,"""Newman Male"""
Character_5076#0,"""Human Female"""
Character_5102#0,"""Deuman Male"""
Character_5103#0,"""Deuman Female"""
title#1,"""キャラクター選択"""
Character_5071#1,"""ヒューマン男性"""
Character_5072#1,"""キャスト男性"""
Character_5073#1,"""ニューマン女性"""
Character_5074#1,"""キャスト女性"""
Character_5075#1,"""ニューマン男性"""
Character_5076#1,"""ヒューマン女性"""
Character_5102#1,"""デューマン男性"""
Character_5103#1,"""デューマン女性"""
title#2,"""กำหนดท่าโพส"""
text1#0,"""เปลี่ยนอุปกรณ์"""
text2#0,"""เลือกท่าโพส"""
text3#0,"""เลือกสีหน้า"""
text4#0,"""เลือกปาก"""
button1#2,"""ปรับ pose motion"""
list_man#0,"""ท่าโพสเพศชาย"""
list_woman#0,"""ท่าโพสเพศหญิง"""
weapon_none#0,"""มือเปล่า"""
mouth_size_change#0,"""motion ใบหน้า เฟรมเรท"""
face_type1#0,"""หน้านิ่ง"""
face_type2#0,"""ยิ้ม"""
face_type3#0,"""หงุดหงิด"""
face_type4#0,"""เศร้า"""
face_type5#0,"""หรี่ตา"""
face_type6#0,"""หลับตา"""
Wait#0,"""รอ"""
WalkFront#0,"""เดิน"""
RunFront#0,"""วิ่ง"""
WaitBattle#0,"""ตั้งท่ารอ"""
RunFrontBattle#0,"""วิ่งต่อสู้"""
DashFront#0,"""พุ่งตัว (หน้า)"""
DashBack#0,"""พุ่งตัว (หลัง)"""
DashLeft#0,"""พุ่งตัว (ซ้าย)"""
DashRight#0,"""พุ่งตัว (ขวา)"""
title#3,"""ポーズ設定"""
text1#1,"""装備変更"""
text2#1,"""ポーズ選択"""
text3#1,"""表情選択"""
text4#1,"""口選択"""
button1#3,"""ポーズモーション調整"""
list_man#1,"""男性ポーズ"""
list_woman#1,"""女性ポーズ"""
weapon_none#1,"""素手"""
mouth_size_change#1,"""顔モーション コマ送り"""
face_type1#1,"""通常"""
face_type2#1,"""笑顔"""
face_type3#1,"""怒り"""
face_type4#1,"""悲しみ"""
face_type5#1,"""不信感"""
face_type6#1,"""目閉じ"""
Wait#1,"""待機"""
WalkFront#1,"""歩き"""
RunFront#1,"""走り"""
WaitBattle#1,"""抜刀待機"""
RunFrontBattle#1,"""抜刀走り"""
DashFront#1,"""ホバー(前)"""
DashBack#1,"""ホバー(後)"""
DashLeft#1,"""ホバー(左)"""
DashRight#1,"""ホバー(右)"""
title#4,"""ปรับ motion"""
text1#2,"""แสดง motion"""
button1#4,"""ทำการแสดง motion"""
button2#2,"""กลับไปที่ท่าโพสพื้นฐาน"""
button3#2,"""แสดงแบบ slow"""
button4#0,"""motion เฟรมเรท"""
button5#0,"""motion เฟรมเรท"""
button1_1#0,"""ยุติ motion"""
button3_1#0,"""แสดงแบบปกติ"""
title#5,"""モーション調整"""
text1#3,"""モーション再生"""
button1#5,"""モーションを再生する"""
button2#3,"""基本のポーズに戻す"""
button3#3,"""スロー再生にする"""
button4#1,"""モーション コマ送り"""
button5#1,"""モーション コマ送り"""
button1_1#1,"""モーションを停止する"""
button3_1#1,"""通常再生にする"""
title#6,"""กำหนดกรอบคำพูด"""
text1#4,"""เนื้อหาข้อความ"""
text2#2,"""รูปร่างกรอบคำพูด"""
text3#2,"""อีโมชั่น"""
button1#6,"""ปรับตำแหน่ง"""
button2#4,"""ลบ"""
button3#4,"""สร้างกรอบคำพูดใหม่"""
balloon_clear_confirm_title#0,"""ลบเนื้อหาในกรอบคำพูด"""
balloon_clear_confirm_message#0,"""ท่านแน่ใจที่จะลบเนื้อหาในกรอบคำพูดหรือไม่?"""
balloon_type0#0,"""ปกติ"""
balloon_type1#0,"""ฮือฮา"""
balloon_type2#0,"""ตะโกน"""
balloon_type3#0,"""กระซิบ"""
balloon_type4#0,"""ปกติ (ไม่ใส่ชื่อ)"""
balloon_type5#0,"""ตะโกน (ไม่ใส่ชื่อ)"""
balloon_type6#0,"""กระซิบ (ไม่ใช่สื่อ)"""
title#7,"""吹き出し設定"""
text1#5,"""メッセージ内容"""
text2#3,"""吹き出しの形"""
text3#3,"""漫符"""
button1#7,"""位置調整"""
button2#5,"""削除"""
button3#5,"""吹き出しを作り直す"""
balloon_clear_confirm_title#1,"""吹き出し内容クリア"""
balloon_clear_confirm_message#1,"""吹き出し内容をクリアします。<br>よろしいですか？"""
balloon_type0#1,"""通常"""
balloon_type1#1,"""ガヤ"""
balloon_type2#1,"""強調"""
balloon_type3#1,"""もわもわ"""
balloon_type4#1,"""通常（名前なし）"""
balloon_type5#1,"""強調（名前なし）"""
balloon_type6#1,"""もわもわ（名前なし）"""
title#8,"""เลือกบอลลูนคำพูด"""
text1#6,"""สร้างใหม่"""
Number1#0,"""1."""
Number2#0,"""2."""
Number3#0,"""3."""
title#9,"""吹き出し選択"""
text1#7,"""新規作成"""
Number1#1,"""1. """
Number2#1,"""2. """
Number3#1,"""3. """
