IncidentName#0,"""กำจัด $(0) ที่กำลังหลบหนี"""
TrialBeginMsg#0,"""ไล่ตาม $(0) ที่กำลังหนีแล้วกำจัด $(1) ตัว!<br>ภารกิจจะล้มเหลวถ้าหลบหนีเกินกว่า $(2) ตัว"""
TrialAbstract#0,"""กำจัด $(0) ที่กำลังหลบหนี!"""
TrialBeginMsgForKeyII#0,"""ไล่ตาม $(0) ที่กำลังหนีและกำจัด $(1) ตัว!"""
IncidentName#1,"""逃走$(0)討伐"""
TrialBeginMsg#1,"""逃走$(0)を$(1)体倒せ！<br>$(2)体以上、逃がすと失敗。"""
TrialAbstract#1,"""逃走$(0)を討伐せよ！"""
TrialBeginMsgForKeyII#1,"""逃走$(0)を$(1)体倒せ！"""
NpcComOnBegin#0,"""ตรวจพบปฏิกริยา $(0) จำนวนมากกำลังหลบหนี<br>พวกมันเป้นตัวอย่างที่หายากมาก พวกเราจึงต้องเก็บรวบรวมข้อมูลก่อนที่พวกมันจะหนีไป"""
NpcComOnBeginAtRareCase#0,"""$(0)!<br>มีคำร้องขอให้เก็บรวบรวมข้อมูลพวกมันภายในเวลาที่จำกัด!<br>เราต้องการให้ท่านช่วย!"""
NpcComOnSuccess#0,"""/face2 รวบรวมข้อมูล $(0) เรียบร้อยแล้ว<br>ขอบคุณที่ให้ความร่วมมือ"""
NpcComOnFailure#0,"""ปฏิกริยาของ $(0) หายไปแล้ว<br>แต่การพบพวกมันก็ได้เก็บข้อมูลมาบ้างแล้ว<br>ขอบคุณที่ให้ความร่วมมือ"""
NpcComOnBegin#1,"""$(0)の大規模な<br>発生が確認されました。稀少個体につき<br>逃走前のデータ収集を願います。"""
NpcComOnBeginAtRareCase#1,"""$(0)です！<br>制限時間つきのデータ収集要請あり！<br>お願いします！"""
NpcComOnSuccess#1,"""/face2 $(0)の<br>データ取得を完了。尽力に感謝します。"""
NpcComOnFailure#1,"""$(0)、ロスト。<br>遭遇だけでも貴重なデータです。<br>協力、有り難うございました。"""
