un_025020_0010#0,"""啊、<%me><br>我們正好遇見了。"""
un_025020_0020#0,"""……對不起。<br>前幾天、在母艦內部發生的事情。<br>當時、連我自己都覺得很奇怪。"""
un_025020_0030#0,"""１．別介意"""
un_025020_0040#0,"""２．沒辦法"""
un_025020_0050#0,"""……雖然是感激的話<br>但不道歉的話，我心裏就不甘心。"""
un_025020_0060#0,"""雖說是接受了絕對命令<br>但用刀刃對着朋友的事……"""
un_025020_0070#0,"""……我還不能保護任何人。<br>只有不斷的精進自己。"""
un_025020_0080#0,"""……那個<br><%me>。<br>等一下、可以嗎？"""
un_025020_0090#0,"""……我想爲上次的事道歉。<br>……真的、對不起。"""
un_025020_0100#0,"""１．嗯、別介意"""
un_025020_0110#0,"""２．唉、沒辦法"""
un_025020_0120#0,"""……你這麼說我很高興。<br>但是，如果不道歉我就不能原諒我自己。"""
un_025020_0130#0,"""……即使有絕對命令<br>……但因爲和朋友戰鬥了。"""
un_025020_0140#0,"""……這次我明白了。<br>我不成熟。非常不成熟。<br>……必須更加努力。"""
un_025020_0150#0,"""因爲說的話是一樣的<br>所以關係應該會很好<br>不過真是麻煩的兩個人啊。"""
un_025020_0160#0,"""哎呀哎呀、對不起。<br>很抱歉讓你受到驚嚇？<br>我沒有這個打算。"""
un_025020_0170#0,"""啊、啊、請不要誤會。<br>莉莎不是來道歉的。<br>因爲大家都在做。"""
un_025020_0180#0,"""莉莎啊、是來<br>謝謝你的。"""
un_025020_0190#0,"""為什麼是謝謝？<br>我們愉快地戰鬥了<br>各種各樣的事情加起來、真是太好了！"""
un_025020_0200#0,"""所以、非常感謝。"""
un_025020_0210#0,"""那麼、莉莎今後也會<br>繼續做開心的事哦。<br>下次再見吧。那麼再見。"""
