un_020160_0010#0,"""ยะโฮ หวัดดี<br>แหม ไหนๆ ก็เป็นการทักทายครั้งแรกทั้งที<br>ก่อนอื่นเลยก็ต้องยินดีที่ได้รู้จักนะ ใช่ป่ะ?"""
un_020160_0013#0,"""ชั้นมีชื่อว่า Azanami ล่ะ<br>ฝากตัวด้วยนะ"""
un_020160_0016#0,"""ว่าแต่ว่าเธอ เคยได้ลอง<br>Class ใหม่ดูรึยัง?"""
un_020160_0020#0,"""ชื่อของมันก็คือ Samurai<br>......อย่าพูดเชียวนะว่าชื่อฟังดูแปลกๆ<br>กว่าจะได้ชื่อนี้ชั้นคิดแทบตายเลยนะ"""
un_020160_0030#0,"""ข้อมูลคร่าวๆ ของ Class นี้ก็คือถนัดการ<br>โจมตีทั้งใกล้และไกลอย่างที่ไม่เคยมีมาก่อน"""
un_020160_0040#0,"""ระยะใกล้ก็ใช้ Katana ฟันชิ้งๆ !<br>ระยะไกลก็ใช้ Bullet Bow <br>ยิงเข้าจุดตายของศัตรู ยังไงล่ะ"""
un_020160_0050#0,"""โฆษณาแค่นี้พอละ!<br>มีอะไรก็ไม่ขอปิดบังอ่ะนะ<br>เพราะชั้นเป็นคนก่อตั้ง Class นี้ขึ้นเอง"""
un_020160_0060#0,"""กว่าจะได้นี่ลำบากสุดๆ เลยล่ะ<br>ต้องไปอธิบายจุดดีของ Class นี้"""
un_020160_0070#0,"""ต้องทั้งแสดงท่าให้ดู ทั้งจำลองสู้<br>ทั้งเขียนรายงานนู่นนี่<br>จนสุดท้าย เค้าก็อนุมัติจนได้"""
un_020160_0080#0,"""จากนั้นก็ทำตามคำแนะนำของเจ้าหน้าที่<br>จนได้ Skill ที่สมบูรณ์แบบ<br>ออกมาให้ใช้กันอย่างที่เห็นนี่แหละ"""
un_020160_0090#0,"""ชั้นมันคนรุ่นหลังแล้ว ถ้าไม่พยายาม<br>แบบนี้ก็ไม่มีทางโดดเด่นได้ ดังนั้น<br>ก็เลยต้องทุ่มเทแบบยอมตายกันไปข้าง"""
un_020160_0100#0,"""แต่ก็นะ ถึงอุปสรรคมันจะเยอะ<br>แต่ผลของมันก็โอเคน่ะนะ"""
un_020160_0110#0,"""มันจะกลายเป็นผลประโยชน์เพื่อคนอื่น<br>และเพื่อทั้งตัวเองด้วย เป็นการ<br>ยิงนัดเดียวได้นกสองตัวเลยล่ะ"""
un_020160_0010#1,"""やっほー、こんにちは。<br>いや、最初の挨拶だし<br>まずははじめまして、かな？"""
un_020160_0013#1,"""あたしはアザナミっていうんだ。<br>よろしくね。"""
un_020160_0016#1,"""ときにあなた、新しいクラスって<br>もう試してみてくれたかな？"""
un_020160_0020#1,"""その名も、ブレイバー。<br>……変な名前とか言わないでよ。<br>これでも必死に考えたんだから。"""
un_020160_0030#1,"""このクラスは、今まで無かった<br>遠近両方に対応するクラスだよ。"""
un_020160_0040#1,"""近距離はカタナでずばっと！<br>遠距離はバレットボウで<br>精神集中狙いうち、ってね。"""
un_020160_0050#1,"""以上、宣伝でした！<br>いやー、何を隠そうこのクラス<br>わたしが新設したものなんだよね。"""
un_020160_0060#1,"""えらーい大変だったよー。<br>このクラスの優れた部分を<br>説明していくのはさー。"""
un_020160_0070#1,"""技術を見せて、模擬戦やって<br>あれやこれやと申請して<br>ようやくなんとか受理。"""
un_020160_0080#1,"""あとは、管理官のフォローのもと<br>スキルなんかが準備されて<br>今に至る、というわけだ。"""
un_020160_0090#1,"""わたしは遅咲きだから、こうして<br>頑張らないと目立てないしね。<br>もう、必死必死、毎日必死。"""
un_020160_0100#1,"""ま、やりがいあるし<br>楽しんでるからいいんだけど。"""
un_020160_0110#1,"""みんなのためにもなるし<br>わたし自身のためにもなる。<br>一石二鳥ってやつだよ。"""
