st_065090_0010#0,"""……無念だ。<br>ああ、無念だ。"""
st_065090_0020#0,"""私の勝利は叶わなかった。<br>歴史はやはり、繰り返してしまうようだ。"""
st_065090_0030#0,"""歴史が繰り返す？"""
st_065090_0040#0,"""それはどういう意味だ？"""
st_065090_0050#0,"""言葉通りの意味よ。<br>私達は結局、世界の器でしかないのだ。"""
st_065090_0060#0,"""巡り、巡り、繰り返す。<br>私と貴方が記録してきたものを……<br>再び最初から、繰り返すのみ。"""
st_065090_0070#0,"""最後に問おう、<%me>。"""
st_065090_0080#0,"""世界を滅ぼすか、自らが消えるか。<br>選べと言われたら、どちらを選ぶ？"""
st_065090_0090#0,"""フォトンのある限り……<br>否、私と貴方が在る限り<br>私達は、選び続けなければならない。"""
st_065090_0100#0,"""<%me>ッ！？"""
st_065090_0110#0,"""<%me>さんの内部に<br>高純度のダーカー因子反応！？<br>一体何処から発生したんですかッ！？"""
st_065090_0120#0,"""まさか、最初の【深遠なる闇】……？<br>依代に<%me>を……！"""
st_065090_0130#0,"""原初の【深遠なる闇】は<br>フォトンの対なるもの。<br>生まれるのではなく、そこに在るもの。"""
st_065090_0140#0,"""もっとも強き力を持つシバが失われた。<br>さすれば次なる力を持つ貴様に<br>宿るのは、道理だろう。"""
st_065090_0150#0,"""貴様は……どうする。"""
st_065090_0160#0,"""これが全ての破滅意志だというのなら……"""
st_065090_0170#0,"""滅ぼすものの、ない場所へ……"""
st_065090_0180#0,"""……そうだな。<br>私なら、そういうと思っていた。"""
st_065090_0190#0,"""<%me>さんを<br>中心に強大な次元湾曲反応！<br>どこかに転移するつもりですか！？"""
st_065090_0200#0,"""いや、これは……時間遡行！？<br>まさか、<%me>！<br>君はどこまで、戻る気だ！？"""
st_065090_0210#0,"""駄目！<br>駄目だよ、<%me>！"""
st_065090_0220#0,"""<%me>……！<br><%me>ーーーッ！！"""
