ra_012010_0010#0,"""การเปลี่ยนแปลงครั้งใหญ่ได้เกิดขึ้นแล้ว <br>และนั่น ก็เป็นผลจากสิ่งที่ท่านได้ทำแล้วเสร็จ"""
ra_012010_0020#0,"""......แม้ว่านั่น<br>จะไม่ใช่สิ่งที่คาดหวังก็ตามที"""
ra_012010_0030#0,"""......ซึ่งชั้นและพวกของชั้นต้องขอโทษ<br>ที่ทั้งๆ ที่รู้ทุกอย่างแต่กลับไม่สามารถ<br>ที่จะเปลี่ยนแปลงสิ่งที่จะเกิดขึ้น"""
ra_012010_0040#0,"""ความเป็นจริงก็เหมือนกับรากไม้ ที่จะชอนไชไป<br>ทางไหนก็ไม่มีใครรู้ มันอาจอำพรางเค้าเงื่อน<br>และนำไปสู่การแตกแยกที่ไม่มีใครต้องการก็ได้"""
ra_012010_0050#0,"""และท่าน ซึ่งเป็นเสมือนตาพายุ<br>ที่อยู่ใจกลาง รู้และเห็นทุกอย่าง<br>เปรียบได้กับกุญแจสำคัญ"""
ra_012010_0055#0,"""โลกจะเป็นไปตามประสบการณ์ที่ท่านมี<br>ที่มันจะไม่ใช่การแก้ไข แต่เป็นการต่อยอด<br>และนำมาซึ่งพวกพ้องรวมถึงศัตรูจำนวนมหาศาล"""
ra_012010_0060#0,"""แต่ถึงอย่างนั้น ชั้นก็อยากจะให้<br>ท่านมุ่งหน้าต่อไปตามทางที่ตัวเองเลือกเอง<br>ไปสู่เส้นทางที่ไม่มีใครเคยเห็นมาก่อน"""
ra_012010_0070#0,"""ซึ่งที่ชั้นและพวกของชั้นมาอยู่ที่นี่<br>ก็เพื่อจะได้รู้และเห็นถึงอนาคตนั้น<br>ด้วยเช่นกัน"""
text01#0,"""ท่านได้รับ Matter Board [Conflict of Idol]"""
ra_012010_0080#0,"""A.P.238/4/2"""
ra_012010_0010#1,"""事象は大いなる変化を見せた。<br>それこそは、貴方が成し遂げた<br>ひとつの成就の形だ。"""
ra_012010_0020#1,"""……たとえ、それが<br>望まぬ形であったとしても。"""
ra_012010_0030#1,"""……わたしとわたしたちは謝罪する。<br>識りながらも変えることのできない<br>この身であることを。"""
ra_012010_0040#1,"""かの事実は根幹を揺るがすもの。<br>跳梁する者たちは拡散を望まず<br>内に秘めようと暗躍するだろう。"""
ra_012010_0050#1,"""ゆえに、貴方の役儀こそが重大。<br>すべてを見、すべてを識った<br>貴方こそが、鍵となる。"""
ra_012010_0055#1,"""貴方が抱く経験で、世界は成る。<br>それは修正ではなく、累積に基づき<br>数多の知己と敵を産むだろう。"""
ra_012010_0060#1,"""それでも、貴方は己の意志が<br>向くままに進んでほしい。<br>誰も見いだせなかった、道へと。"""
ra_012010_0070#1,"""わたしとわたしたちは<br>その先を見、識るために<br>ここにいる。"""
text01#1,"""<br>マターボード『偶像のコンフリクト』を入手しました。<br>"""
ra_012010_0080#1,"""A.P.238/4/2"""
