ProgressCount#0,"""$(0)/$(1)"""
ProgressValue#0,"""×$(0)"""
TrialSuccessMsg#0,"""トライアル<br>\""$(0)\""成功"""
TrialFailureMsg#0,"""トライアル<br>\""$(0)\""失敗"""
TrialCancelMsg#0,"""トライアル<br>\""$(0)\""から離脱"""
TrialFinishMsg#0,"""トライアル<br>\""$(0)\""終了"""
TrialSuccessQuestBuff_GrowUp#0,"""＊報酬：$(0)"""
RewardTextClear#0,"""トライアル<br>\""$(0)\""成功"""
RewardTextRew#0,"""報酬"""
RewardTextMeseta#0,"""<pict reb_meseta>$(0)"""
RewardTextItemNameNum#0,"""$(0)×$(1)"""
RewardTextItemName#0,"""$(0)"""
ProgDefenceWave#0,"""Wave．"""
ProgNumPlayerDied#0,"""戦闘不能回数"""
FLineMsg_TimeOver#0,"""トライアル失敗<br>タイムオーバー！"""
FLineMsg_DefenceTarget_Dead#0,"""トライアル失敗<br>防衛対象の被害大！"""
FLineMsg_NumPlayerDied#0,"""戦闘不能回数上限！"""
MJournal_HostName#0,"""ホストプレイヤー"""
MJournal_PlayerNum#0,"""参加人数"""
MJournal_RemainDecide#0,"""レース開始まで"""
MJournal_RemainBoot#0,"""＊開始まで残り"""
MSelectTitle#0,"""フィールドレースのコース選択"""
MButtonGuide_HostMenu#0,"""長押しでマッチングの状態を変更"""
MButtonGuide_HostMenuTail#0,"""受注中のフィールドレース\u3000$(0)"""
MButtonGuide_HostTitle#0,"""$(0)"""
MButtonGuide_HostMessage#0,"""$(0)を<br>今すぐに開始しますか？"""
MButtonGuide_HostYes#0,"""すぐ開始する"""
MButtonGuide_HostNo#0,"""マッチングをやめる"""
MButtonGuide_MemberMenu#0,"""長押しでマッチングの状態を変更"""
MButtonGuide_MemberMenuTail#0,"""受注中のフィールドレース\u3000$(0)"""
MButtonGuide_MemberTitle#0,"""$(0)"""
MButtonGuide_MemberMessage#0,"""フィールドレースへの参加を<br>キャンセルしますか？"""
MButtonGuide_MemberYes#0,"""はい"""
MButtonGuide_MemberNo#0,"""いいえ"""
MStartNotice_HostPlayer#0,"""フィールドレースの参加受付を開始しました。"""
MStartNotice_MemberPlayer#0,"""$(0)のマッチングに参加しました。"""
