name_7657#0,"""スタッギィ"""
ssn_005080_0001#0,"""よくセントラルに来たな！\u3000歓迎するぜ！"""
ssn_005080_0002#0,"""どんどん戦って、勝って、稼いで、<br>今よりもイイ装備を揃えていこうぜ！"""
ssn_005080_0101#0,"""なあ、知ってるか？<br>武器って……“合体”できるんだぜ！"""
ssn_005080_0051#0,"""“マルチウェポン”っていうんだけどよ！<br>試しに作ってみないか？"""
ssn_005080_0052#0,"""そんじゃ、アドバイスしてやるぜ。"""
ssn_005080_0102#0,"""マルチウェポンは、アイテムラボで作れるんだぜ。"""
ssn_005080_0103#0,"""同じ種類の武器なら、<br>アイテムラボでなんでも組み合わせてくれるぜ。"""
ssn_005080_0104#0,"""っと、合体させるなら、<br>触媒の“鉱石”も忘れないようにな！"""
ssn_005080_0105#0,"""マズ必要なのは鉱石。集めたらラボへ！"""
ssn_005080_0201#0,"""どうだ、作ってみた感想は？"""
ssn_005080_0202#0,"""どんな原理かは知らねーけど、<br>合体ってのはロマンだよなぁ！"""
ssn_005080_0203#0,"""いろいろ試して、<br>カッコイイ武器、作ってくれよな！"""
ssn_005080_0301#0,"""つれないなあ……。<br>まあ、その気になったら、また来いよ！"""
