name01#0,"""コフィー"""
11_voice_NPC_5050_104#0,"""<%me>さん。<br>お疲れ様です。<br>管理官のコフィーです。"""
text02#0,"""貴方にアルティメットクエスト……<br>壊世区域の調査任務が発令されました。"""
text03#0,"""申請試験等は不要です。<br>貴方の実力ならば問題はないと<br>判断されました。"""
text04#0,"""また、緊急クエスト等に適用される<br>クエストランク「エクストラハード」も<br>解放されております。"""
text05#0,"""……どちらについても、貴方ならば<br>問題ないと判断されたとはいえ<br>かなりの危険を伴う任務です。"""
text06#0,"""くれぐれも無理はしないように。<br>……それでは、失礼します。"""
Title#0,"""『アルティメットクエスト』について"""
text01#0,"""アルティメットクエストについて説明します。<br><br>アルティメットクエストは<br>「壊世区域」と呼称される局所的な<br>異常が発生し環境が著しく変化したエリアの<br>探索を行うクエストです。"""
text02#1,"""「壊世区域」では「世壊種」と呼ばれる<br>異常変化した強力なエネミーが出現しており、<br>非常に難易度の高いクエストとなります。"""
text03#1,"""エネミー撃破やEトライアルをクリアして<br>獲得出来る『クエストポイント』を<br>一定値貯める事でクエストクリアになります。"""
