msc_013300_0010#0,"""これは……。"""
msc_013300_0020#0,"""ロストセントラルの制御中枢……、<br>コアユニットだよ。"""
msc_013300_0030#0,"""さて、調べさせてもらおっか。"""
msc_013300_0040#0,"""まあ、みんなはちょっと休んでてよ。"""
msc_013300_0050#0,"""セントラルのヒト。<br>ちょっと来てくれる？"""
msc_013300_0060#0,"""手を貸してほしいんだ。<br>僕は、こっちを進めるから……。"""
msc_013300_0070#0,"""ええ、いいわよ。"""
msc_013300_0080#0,"""えっと……電源が軒並みダメね。予備電源も空っぽ。"""
msc_013300_0090#0,"""まあ、そりゃそうだよねー。このバッテリー使ってよ。"""
msc_013300_0100#0,"""それでも持つかどうか……。あ、サブユニットの方は生きているみたい。"""
msc_013300_0110#0,"""お、それならそっちを使おう。<br>……よし、コアのシステムもいけそうだ。"""
msc_013300_0120#0,"""サブからの配電をメインへの直列にして……。<br>念のため、セーフモードにするわよ？"""
msc_013300_0130#0,"""そうだね……てかキミやるね。<br>理解が早くて助かるよ。"""
msc_013300_0140#0,"""それはお互い様。"""
msc_013300_0150#0,"""すごい……イルマと会話が通じてる……。"""
msc_013300_0160#0,"""うちのマノンも、結構やるでしょ？"""
msc_013300_0170#0,"""動いた……!?"""
msc_013300_0180#0,"""そのはずだよ。"""
msc_013300_0200#0,"""さて、中身を見せてもらおうかな。"""
msc_013300_0210#0,"""ドールズ!?"""
msc_013300_0220#0,"""どうやら、眠っていた連中も<br>起こしちゃったみたいだね。"""
msc_013300_0230#0,"""こいつらは、俺たちが片づける。"""
msc_013300_0240#0,"""イルマの作業を見てるだけじゃ……、<br>眠たくなるしな。"""
